username,bio,location,target_population,locals_vs_diaspora,person_vs_organization,comments,source_consensus
p2c_star75,"| רודף שלום וצדק.פטריוט בכל רמח האיברים |
| 27 שנות ניסיון בעולם ה-it והסייבר |
| סוחר נאסד""ק מושבע | 
| יזם בתחום אנרגיות מתחדשות |",tel avivisrael,1,1,1,ישראלי שגר בישראל,auto_agree
Norod78,fooling around with generative machine learning models since before it became mainstream,,1,1,1,ישראלי שגר בישראל,auto_agree
Axjindar,"polyglot it security consultant
fullstack developer big data advertisement marketing debianist",root@se.krd,0,0,1,לא מישראל,auto_agree
____valkyrie,is it sad? sure. but it's a sadness i chose,,1,1,1,ישראלית שגרה בישראל,auto_agree
gjmrocker,hi i tweet about vtubers a lot that’s about it. vtuber clipper! sport teams: giants yankees devils knicks trojans!!,,2,2,2,משתמש לא נמצא ואין מספיק מידע,auto_agree
hagayalter,i find it very amusing,,1,1,1,ישראלי שגר בישראל,auto_agree
avniyayin,indie web dev | creator of perpetually forthcoming masterpieces | ai webdev game dev seo content | just rolling with it,pt-tlv israel,1,1,1,ישראלי שגר בישראל,auto_agree
reglash,author of parallel lines out now!! w/,israel,1,1,1,עורכת ראשית של jerusalem post,auto_agree
tulyweisz,mobilizing the faith community in support of israel and against evil.,beit shemesh israel,1,1,1,ישראלי שגר בישראל,auto_agree
Israel,the official x account of the state of israel (yes it’s really us) run by the,jerusalem israel,1,1,0,משתמש לא נמצא אך יש פרטים כאן,auto_agree
cabel_eitan,חכ״ל כבר לא יו״ר ועדת הכלכלה. מתגורר בראש העין נשוי לנועה ואב לארבע בנות. chairman of the economic affairs committee - labor party. living in rosh haayin,israel,1,1,1,ישראלי שגר בישראל,auto_agree
emmanuelnavon,scholar & practitioner of,israel,1,1,1,ישראלי שגר בישראל,auto_agree
drordvash,c.e.o of the local council of mitzpe ramon,israel,1,1,1,ישראלי שגר בישראל,auto_agree
LTCPeterLerner,director general of international relations,israel,1,1,1,ישראלי שגר בישראל,auto_agree
AmbDaniDayan,chairman of,israel,1,1,1,ישראלי שגר בישראל,auto_agree
SharrenHaskel,deputy minister of foreign affairs of the state of israel,israel,1,1,1,ישראלית שגרה בישראל,auto_agree
gantzbe,"נשוי לרויטל ואב ל-4 ילדים. שר הביטחון ה-21. הרמטכ״ל ה-20. יו״ר המחנה הממלכתי.israel's 21st minister of defense. 20th idf chief of staff. ""blue & white"" chairman",israel,1,1,1,בני גנץ,auto_agree
MattanyaCohen,head of latin america and the caribbean bureau at,israel,1,1,1,ישראלי שגר בישראל,auto_agree
hunkydory99,jidf • proud descendant of auschwitz survivor,israel,1,1,1,משתמש לא נמצא אך יש פה מספיק פרטים,auto_agree
BrianNReeves,director of strategic relations,israel,1,1,1,ישראלי שגר בישראל,auto_agree
zoharalon,startup addict; helping young entrepreneurs build great companies; some call me godfather of cspm w/,tel aviv israel,1,1,1,ישראלי שגר בישראל,auto_agree
leonidaltman,graphic designer / cg artist / creator of 'light wrangler' blender addon,israel,1,1,1,משתמש לא נמצא אך יש פה מספיק פרטים,auto_agree
wzo_official,the world zionist organization is committed to promoting zionist ideals and a love for israel as vital and positive elements of contemporary jewish life.,jerusalem israel,1,1,0,,manual_resolution
assaf_refugees,א.ס.ף - ארגון סיוע לפליטים ומבקשי מקלט בישראל | הגנה מעמד חוקי זכויות חברתיות וכלכליות לפליטים ולמבקשי מקלט בישראל | assaf aid ngo for refugees in israel,israel,1,1,0,,manual_resolution
homelandguards,citizens for clean energy and industry אזרחים לקידום אנרגיה נקיה ועצירת תעשיה מזהמת.,israel,1,1,0,,manual_resolution
TimesofIsrael,the one-stop news site for israel the region & the jewish world. follow,jerusalem israel,1,1,0,,manual_resolution
mountlevnon,advocating for a free maronite state committed to a mediterranean alliance with israel  cyprus and greece.,mount lebanon,0,0,0,,manual_resolution
AiroboticsUAV,"trusted autonomous drones. 
mission critical drone infrastructure for smart cities public safety defense hls and industrial services.",israel usa,1,1,0,,manual_resolution
CAMERAorg,camera - committee for accuracy in middle east reporting & analysis. media-monitoring & research. follows & rt ≠ endorsement.,usa & israel,1,1,0,,manual_resolution
AlonPinkas,cos/fp advisor to 1 pm & 4 of israel's best foreign ministers since 70ce. fmr. amb. consul general in ny. played for the arsenal 1979 fa cup final,tel aviv israel,1,1,1,,manual_resolution
hagigat1,"israel-china-ecuador-israel. sports (football athletics basketball) coffee and mobility
not the bs engineer you'd expect (well not an engineer for start",,1,1,1,,manual_resolution
IsraelinNewYork,the official twitter account of the consulate general of israel in new york,new york,1,0,0,,manual_resolution
CampusJewHate,influence academic institutions to oppose jew-hatred by exposing toxic anti-israel climate on their campuses.,manhattan ny,0,0,0,,manual_resolution
PosenIzzy,british jew. 'small c' british conservatism. europhile. pro-natalism. yiddish/hebrew translator/researcher. maths/physics tutor.,london england,0,0,1,,manual_resolution
Asher_Senor,american israeli jew.,,1,0,1,,manual_resolution
evagideoncross,"kindle unlimited professional and pole dance enthusiast
jew/zionist",,2,2,2,,manual_resolution
DrJackBor,latino-jew. columbia university educated psychologist. certificate in bilingual and latino mental health.,,2,2,1,,manual_resolution
AOC,us congresswoman ny-14. in a modern moral and wealthy society no american should be too poor to live. people-funded takes no lobbyist,bronx + queens nyc,0,0,0,,manual_resolution
maxkrasny,it always seems impossible until it’s done. mokka founder (ai for talent teams). gett intel capital alum.,nyc,2,2,2,,manual_resolution
TENml32,sports is my love !!!,,0,0,1,,manual_resolution
ColIaboRational,"world is complicated wanting it to be simple doesn't make it simple. 

['likes' and rts not necessarily endorsements just interesting in some way]",,2,2,2,,manual_resolution
KobbiShoshani,consul general of israel to midwest india mumbai. married + 3 tedx speakertennis lover  amateur astronomer (dreamer).,mumbai,1,1,1,,manual_resolution
Golan_yarden,personal account. former chief of staff to israel’s minister of strategic affairs and,israel,1,0,1,,manual_resolution
fcpii_official,"تبلیغ و احیای دوستی بین مردم ایران و اسرائیل و پیکار با یهودستیزی
promoting friendship between the people of iran & israel and fighting against antisemitism",tehran iran,0,0,0,,manual_resolution
Robiiin_Hoodx,think of nothing but fighting,israel,1,1,1,,manual_resolution
IditAbu,ambassador of israel to belgium and luxembourg,,1,0,1,,manual_resolution
AmbAlKhaja,ambassador of the united arab emirates to israel,,0,0,1,,manual_resolution
HRM_Israel,מגנים על זכויות פליטים מהגרי עבודה וקורבנות סחר בישראל. safeguarding the rights of refugees migrants and victims of human trafficking in israel.,tel aviv israel,1,1,0,,manual_resolution
ILMissionVienna,permanent mission of israel to the un osce & intern. organizations in vienna. bilateral:,,1,1,0,,manual_resolution
