username,bio,location,target_population,locals_vs_diaspora,person_vs_organization,comments,source_consensus
p2c_star75,"| רודף שלום וצדק.פטריוט בכל רמח האיברים |
| 27 שנות ניסיון בעולם ה-it והסייבר |
| סוחר נאסד""ק מושבע | 
| יזם בתחום אנרגיות מתחדשות |",tel avivisrael,1,1,1,ישראלי שגר בישראל,auto_agree
Norod78,fooling around with generative machine learning models since before it became mainstream,,1,1,1,ישראלי שגר בישראל,auto_agree
Axjindar,"polyglot it security consultant
fullstack developer big data advertisement marketing debianist",root@se.krd,0,0,1,לא מישראל,auto_agree
____valkyrie,is it sad? sure. but it's a sadness i chose,,1,1,1,ישראלית שגרה בישראל,auto_agree
gjmrocker,hi i tweet about vtubers a lot that’s about it. vtuber clipper! sport teams: giants yankees devils knicks trojans!!,,2,2,2,משתמש לא נמצא ואין מספיק מידע,auto_agree
hagayalter,i find it very amusing,,1,1,1,ישראלי שגר בישראל,auto_agree
avniyayin,indie web dev | creator of perpetually forthcoming masterpieces | ai webdev game dev seo content | just rolling with it,pt-tlv israel,1,1,1,ישראלי שגר בישראל,auto_agree
reglash,author of parallel lines out now!! w/,israel,1,1,1,עורכת ראשית של jerusalem post,auto_agree
tulyweisz,mobilizing the faith community in support of israel and against evil.,beit shemesh israel,1,1,1,ישראלי שגר בישראל,auto_agree
Israel,the official x account of the state of israel (yes it’s really us) run by the,jerusalem israel,1,1,0,משתמש לא נמצא אך יש פרטים כאן,auto_agree
cabel_eitan,חכ״ל כבר לא יו״ר ועדת הכלכלה. מתגורר בראש העין נשוי לנועה ואב לארבע בנות. chairman of the economic affairs committee - labor party. living in rosh haayin,israel,1,1,1,ישראלי שגר בישראל,auto_agree
emmanuelnavon,scholar & practitioner of,israel,1,1,1,ישראלי שגר בישראל,auto_agree
drordvash,c.e.o of the local council of mitzpe ramon,israel,1,1,1,ישראלי שגר בישראל,auto_agree
LTCPeterLerner,director general of international relations,israel,1,1,1,ישראלי שגר בישראל,auto_agree
AmbDaniDayan,chairman of,israel,1,1,1,ישראלי שגר בישראל,auto_agree
SharrenHaskel,deputy minister of foreign affairs of the state of israel,israel,1,1,1,ישראלית שגרה בישראל,auto_agree
gantzbe,"נשוי לרויטל ואב ל-4 ילדים. שר הביטחון ה-21. הרמטכ״ל ה-20. יו״ר המחנה הממלכתי.israel's 21st minister of defense. 20th idf chief of staff. ""blue & white"" chairman",israel,1,1,1,בני גנץ,auto_agree
MattanyaCohen,head of latin america and the caribbean bureau at,israel,1,1,1,ישראלי שגר בישראל,auto_agree
hunkydory99,jidf • proud descendant of auschwitz survivor,israel,1,1,1,משתמש לא נמצא אך יש פה מספיק פרטים,auto_agree
BrianNReeves,director of strategic relations,israel,1,1,1,ישראלי שגר בישראל,auto_agree
zoharalon,startup addict; helping young entrepreneurs build great companies; some call me godfather of cspm w/,tel aviv israel,1,1,1,ישראלי שגר בישראל,auto_agree
leonidaltman,graphic designer / cg artist / creator of 'light wrangler' blender addon,israel,1,1,1,משתמש לא נמצא אך יש פה מספיק פרטים,auto_agree
