username,bio,location,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score,target_population,locals_vs_diaspora,person_vs_organization,comments
hagigat1,"israel-china-ecuador-israel. sports (football athletics basketball) coffee and mobility
not the bs engineer you'd expect (well not an engineer for start",,0,0.33435089,0.33435089,0.334183257,0.331465853,0.66564911,1,2,1,ישראלי לא ידוע איפה נמצא כרגע כי כתוב גם סין או קאוודוק
EuropeanPan,unapologetically pro-european. promoting the defence of our civilization and advancing a new spirit of european pride!,europe,1,0.335922803,0.331479525,0.335922803,0.332597672,0.664077197,0,0,0,ארגון אירופי
RapaportShani,diplomat head of,new delhi india,1,0.335922803,0.331479525,0.335922803,0.332597672,0.664077197,1,0,1,ישראלית שגרה בהודו(דיפלומטית)
Chaimico,investing in a new generation of start-ups that are plugging online technologies into physical processes and experiences.,tel aviv,1,0.335922803,0.331479525,0.335922803,0.332597672,0.664077197,1,1,1,ישראלי שגר בישראל
IsraelinNewYork,the official twitter account of the consulate general of israel in new york,new york,1,0.335922803,0.331479525,0.335922803,0.332597672,0.664077197,1,0,0,חשבון של הקנסוליה הישראלית בנויורק
Czar_9_0,zionist ultranationalist,kingdom of new jerusalem,1,0.335922803,0.331479525,0.335922803,0.332597672,0.664077197,1,1,1,ישראלי שגר בישראל
CampusJewHate,influence academic institutions to oppose jew-hatred by exposing toxic anti-israel climate on their campuses.,manhattan ny,2,0.337596533,0.334282665,0.328120802,0.337596533,0.662403467,0,0,0,חברה בחול למען התנגדות שנאת יהודים
PosenIzzy,british jew. 'small c' british conservatism. europhile. pro-natalism. yiddish/hebrew translator/researcher. maths/physics tutor.,london england,0,0.337934486,0.337934486,0.328119599,0.333945915,0.662065514,0,0,1,יהודי כנראה אך גר בחול וכנראה נולד שם
Asher_Senor,american israeli jew.,,0,0.337934486,0.337934486,0.328119599,0.333945915,0.662065514,0,0,1,אמריקאי
aviadsanders,"יהודי- jew. 
רמ במדרשת לינדנבאום. 
נשוי +4
עשיתי לי סימן על המצח שאני משוגע (רב נחמן שם). מחלק טבק בבית כנסת.",,0,0.337934486,0.337934486,0.328119599,0.333945915,0.662065514,1,1,1,ישראלי שגר בישראל
yosgalin02,a jew from jerusalem,jerusalem,0,0.337934486,0.337934486,0.328119599,0.333945915,0.662065514,1,1,1,ישראלי שגר בישראל
EitanChitayat,jew,tel aviv,0,0.337934486,0.337934486,0.328119599,0.333945915,0.662065514,1,1,1,ישראלי שגר בישראל
evagideoncross,"kindle unlimited professional and pole dance enthusiast
jew/zionist",,0,0.337934486,0.337934486,0.328119599,0.333945915,0.662065514,2,2,2,משתמש לא נמצא ואין מספיק מידע
DrJackBor,latino-jew. columbia university educated psychologist. certificate in bilingual and latino mental health.,,0,0.337934486,0.337934486,0.328119599,0.333945915,0.662065514,2,2,1,כתוב יהודי לטיני אך לא ידוע על מיקום והאם  נולד כאן
AOC,us congresswoman ny-14. in a modern moral and wealthy society no american should be too poor to live. people-funded takes no lobbyist,bronx + queens nyc,0,0.337942856,0.337942856,0.331565195,0.330491949,0.662057144,0,0,0,חברת קונגרס אמריקאית
dip3206,observant jew. proud supporter of israel. father of 6.,,0,0.338020045,0.338020045,0.328119259,0.333860696,0.661979955,0,0,1,אמריקאי
skjask,woman with many causes writer jew israeli fighter of extremism. born in exile. cofounder,israel,0,0.338020045,0.338020045,0.328119259,0.333860696,0.661979955,1,1,1,ישראלית שגרה בישראל
soren_iverson,new ideas daily. building,los angeles ca,2,0.338338818,0.325777969,0.335883213,0.338338818,0.661661182,0,0,1,אמריקאי
maxkrasny,it always seems impossible until it’s done. mokka founder (ai for talent teams). gett intel capital alum.,nyc,2,0.339741177,0.326120041,0.334138782,0.339741177,0.660258823,2,2,2,משתמש לא נמצא ואין מספיק מידע
zoharu,owner of zohar urian marketing in love with dodo,israel,2,0.340077673,0.3348537,0.325068627,0.340077673,0.659922327,1,1,1,ישראלי שגר בישראל
ailai1234462,dont love what you see love what yoy feel,israel!!!,2,0.340163668,0.334768144,0.325068188,0.340163668,0.659836332,1,1,1,ישראלית שגרה בישראל
zabesrm,spirited free thinking gal who isn’t offended by anything. patriot! love trump tucker & musk!! unapologetically love my country!!,scottsdale az,2,0.340163668,0.334768144,0.325068188,0.340163668,0.659836332,0,0,1,אמריקאית
Adrian081983276,climate optimistski helmet hater higher educated amsterdam beach ibiza and stubaier glacier lover just love life,amsterdam nederland,2,0.340163668,0.334768144,0.325068188,0.340163668,0.659836332,0,0,1,ספרדי
TENml32,sports is my love !!!,,2,0.340163668,0.334768144,0.325068188,0.340163668,0.659836332,0,0,1,אמריקאי
KaiSaikota,biggest simp in,i love my kamisitos,2,0.340163668,0.334768144,0.325068188,0.340163668,0.659836332,0,0,1,מאמריקה
Eretz_Nehederet,eretz nehederet (a wonderful country) is israel’s no.1 satire show.   למערכונים של ארץ נהדרת לחצו,,2,0.340343882,0.32811425,0.331541868,0.340343882,0.659656118,1,1,0,ערוץ טלוויזיה בישראל
OriKatz3,"no solutions only trade-offs.
the mechanical god:",israel,2,0.340343882,0.32811425,0.331541868,0.340343882,0.659656118,1,1,1,ישראלי שגר בישראל
IsraMum,"peace activist (but no useful idiot).
lawyer. angry. true",israel,2,0.340343882,0.32811425,0.331541868,0.340343882,0.659656118,1,1,1,ישראלי שגר בישראל
naomilster,is this it?,tel aviv,1,0.340361701,0.319987393,0.340361701,0.339650906,0.659638299,1,1,1,ישראלית שגרה בישראל
1liort,"""fugayzi fugazi. it's a wazi it's a woozi. it's fairy dust.""",world wide,1,0.340361701,0.319987393,0.340361701,0.339650906,0.659638299,1,1,1,ישראלי שגר בישראל
whyeden,it's a metaphor daddy,מנחה הפודקאסט כמעט מפורסמים,1,0.340361701,0.319987393,0.340361701,0.339650906,0.659638299,1,1,1,ישראלי שגר בישראל
msnrsh,peripheral exploration eternally externally internal i get it,jefferson ga,1,0.340361701,0.319987393,0.340361701,0.339650906,0.659638299,0,0,1,
AharoniNurit,it so good to be bad,,1,0.340361701,0.319987393,0.340361701,0.339650906,0.659638299,1,1,1,ישראלית שגרה בישראל
Daniella_Se19,hey it's me,ramat gan,1,0.340361701,0.319987393,0.340361701,0.339650906,0.659638299,1,1,1,ישראלית שגרה בישראל
awawawhoami,kitten (it/its) investigative journalist hacktivist columnist,st gallen switzerland,1,0.340361701,0.319987393,0.340361701,0.339650906,0.659638299,0,0,1,
Channel4,"channel 4 altogether different since 1982. 
difference starts conversations it makes us laugh makes us feel. it triggers change.",united kingdom,1,0.340361701,0.319987393,0.340361701,0.339650906,0.659638299,0,0,0,ערוץ לא ישראלי
p2c_star75,"| רודף שלום וצדק.פטריוט בכל רמח האיברים |
| 27 שנות ניסיון בעולם ה-it והסייבר |
| סוחר נאסד""ק מושבע | 
| יזם בתחום אנרגיות מתחדשות |",tel avivisrael,1,0.340361701,0.319987393,0.340361701,0.339650906,0.659638299,1,1,1,ישראלי שגר בישראל
Norod78,fooling around with generative machine learning models since before it became mainstream,,1,0.340361701,0.319987393,0.340361701,0.339650906,0.659638299,1,1,1,ישראלי שגר בישראל
Axjindar,"polyglot it security consultant
fullstack developer big data advertisement marketing debianist",root@se.krd,1,0.340361701,0.319987393,0.340361701,0.339650906,0.659638299,0,0,1,לא מישראל
____valkyrie,is it sad? sure. but it's a sadness i chose,,1,0.340361701,0.319987393,0.340361701,0.339650906,0.659638299,1,1,1,ישראלית שגרה בישראל
gjmrocker,hi i tweet about vtubers a lot that’s about it. vtuber clipper! sport teams: giants yankees devils knicks trojans!!,,1,0.340361701,0.319987393,0.340361701,0.339650906,0.659638299,2,2,2,משתמש לא נמצא ואין מספיק מידע
hagayalter,i find it very amusing,,1,0.340361701,0.319987393,0.340361701,0.339650906,0.659638299,1,1,1,ישראלי שגר בישראל
ColIaboRational,"world is complicated wanting it to be simple doesn't make it simple. 

['likes' and rts not necessarily endorsements just interesting in some way]",,1,0.340361701,0.319987393,0.340361701,0.339650906,0.659638299,0,0,1,מקרואטיה
avniyayin,indie web dev | creator of perpetually forthcoming masterpieces | ai webdev game dev seo content | just rolling with it,pt-tlv israel,1,0.340363394,0.320070333,0.340363394,0.339566273,0.659636606,1,1,1,ישראלי שגר בישראל
reglash,author of parallel lines out now!! w/,israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,1,עורכת ראשית של jerusalem post
tulyweisz,mobilizing the faith community in support of israel and against evil.,beit shemesh israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,1,ישראלי שגר בישראל
KobbiShoshani,consul general of israel to midwest india mumbai. married + 3 tedx speakertennis lover  amateur astronomer (dreamer).,mumbai,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,1,ישראלי שגר בישראל
Israel,the official x account of the state of israel (yes it’s really us) run by the,jerusalem israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,0,משתמש לא נמצא אך יש פרטים כאן
cabel_eitan,חכ״ל כבר לא יו״ר ועדת הכלכלה. מתגורר בראש העין נשוי לנועה ואב לארבע בנות. chairman of the economic affairs committee - labor party. living in rosh haayin,israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,1,ישראלי שגר בישראל
emmanuelnavon,scholar & practitioner of,israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,1,ישראלי שגר בישראל
drordvash,c.e.o of the local council of mitzpe ramon,israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,1,ישראלי שגר בישראל
LTCPeterLerner,director general of international relations,israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,1,ישראלי שגר בישראל
AmbDaniDayan,chairman of,israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,1,ישראלי שגר בישראל
Golan_yarden,personal account. former chief of staff to israel’s minister of strategic affairs and,israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,0,1,שגריר ישראל בארצות הברית
SharrenHaskel,deputy minister of foreign affairs of the state of israel,israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,1,ישראלית שגרה בישראל
gantzbe,"נשוי לרויטל ואב ל-4 ילדים. שר הביטחון ה-21. הרמטכ״ל ה-20. יו״ר המחנה הממלכתי.israel's 21st minister of defense. 20th idf chief of staff. ""blue & white"" chairman",israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,1,בני גנץ
MattanyaCohen,head of latin america and the caribbean bureau at,israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,1,ישראלי שגר בישראל
hunkydory99,jidf • proud descendant of auschwitz survivor,israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,1,משתמש לא נמצא אך יש פה מספיק פרטים
BrianNReeves,director of strategic relations,israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,1,ישראלי שגר בישראל
fcpii_official,"تبلیغ و احیای دوستی بین مردم ایران و اسرائیل و پیکار با یهودستیزی
promoting friendship between the people of iran & israel and fighting against antisemitism",tehran iran,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,0,0,0,חברה איראנית לקידום שלופ עם ישראלים
Robiiin_Hoodx,think of nothing but fighting,israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,0,0,1,תומך ישראל
IditAbu,ambassador of israel to belgium and luxembourg,,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,1,ישראלית שגרה בישראל
AmbAlKhaja,ambassador of the united arab emirates to israel,,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,0,0,1,לא מישראל
HRM_Israel,מגנים על זכויות פליטים מהגרי עבודה וקורבנות סחר בישראל. safeguarding the rights of refugees migrants and victims of human trafficking in israel.,tel aviv israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,0,מוקד לפליטים ומהגרים בארץ
ILMissionVienna,permanent mission of israel to the un osce & intern. organizations in vienna. bilateral:,,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,0,משלחת ישראלים באום ואגונים בינלאומיים
zoharalon,startup addict; helping young entrepreneurs build great companies; some call me godfather of cspm w/,tel aviv israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,1,ישראלי שגר בישראל
leonidaltman,graphic designer / cg artist / creator of 'light wrangler' blender addon,israel,1,0.340393169,0.337938931,0.340393169,0.3216679,0.659606831,1,1,1,משתמש לא נמצא אך יש פה מספיק פרטים
