username,bio,location,target_population,locals_vs_diaspora,person_vs_organization,comments
Dudibnhmo,עיתונאי ומגיש 'כיכר השבת'. לשעבר כתב ומגיש בערוץ 7. ועורך ומגיש בחדשות הסקופים.,ירושלים,,,,
miluimnikim,"אנחנו המילואימניקים שנלחמים ברגעים אלה על הבית מבינים שהפעם המשימה שלנו לא נגמרת בשדה הקרב.
חתמו על מתווה הגיוס שלנו",,,,,
orenlebovitch,,israel,,,,
feministitFTW,"הבו לנו פטיש.
connect@feministit.co.il",ישראל,,,,
GenFlynn,faith family freedom twice a best selling author. former national security advisor to 45th potus.,local action,,,,
zionutdatit,הדף הרשמי של מפלגת הציונות הדתית בראשות בצלאל סמוטריץ',ישראל,,,,
DaliaHochberg,"קיבוצניקית קצינה צנחנית סא""ל מנכ""לת מרכז המרצים לישראל אמא של יעל ודניאל שותפה ב onlive   האנשים הכי משפיעים בישראל לייב אצלכם בסלון",israel,,,,
ksminnovation,kahn-sagol-maccabi (ksm) is the research and innovation center of maccabi healthcare services,tel aviv,,,,
shwrzenberg,החיים עוד לא חזרו למסלולם ״הפצעים עדיין לא הגלידו אולי זה יישאר כבר לעולם אולי צריך לתת לזה עוד זמן מה יהיה ימים יגידו אולי צריך לתת לזה עוד זמן״,ישראל,,,,
GSzneiberg,יליד בואנוס איירס ופעיל ירושלמי עובד בנק וסוציאל דמוקרט פסיכולוג ומנתח מערכות.,jerusalem,,,,
aronkalman1,תקשורת • סטודנט למשפטים,,,,,
ExArcanaImperii,𝐏𝐡𝐃,whitechapel london,,,,
PearlmanYeC,#torah,mount tzion,,,,
Arabhebre,"חדשות יומיות בערבית מדוברת תעתיק תרגום ואוצר מילים לשינון.

חדשות בערבית גם בטלגרם",,,,,
Hollandia_il,מערכות השינה הטובות בעולם,,,,,
yoaveven,כתב לענייני בריאות חדשות ערוץ 2,תל אביב,,,,
YMalulu,מצחיקה את עצמי.,,,,,
tomweg,author of the bestseller cannabis wars and gold medal winner of the global books award. strategic consultant and legalization advocate.,ישראל,,,,
UriSadot,,tel-aviv israel,,,,
EmekShaveh,jerusalem-based organization of archaeologists and community activists focusing on the role of archaeology in society and in the israeli-palestinian conflict.,jerusalem,,,,
itamarfleishe,כמים הפנים אל הפנים כן לב האדם אל האדם,ישראל,,,,
uriweltmann,אורגנייזר ארצי - תנועת עומדים ביחד,תל-אביב تل ابيب tel-aviv,,,,
Roni_katz1,,,,,,
Energy_IL,the official twitter account of israel’s ministry of energy & infrastructure  החשבון הרשמי של משרד האנרגיה והתשתיות,בנק ישראל 7 ירושלים,,,,
MariaGArocha,venezolana portugueseña araureña defensora de los ddhh. presidente regional de encuentro ciudadano portuguesa.,venezuela,,,,
lopoter,,israel,,,,
hadarseg,,tel aviv,,,,
marymauldin,#godisamongus,descendant-puritans here 1636,,,,
adamscottbellos,host of “unfiltered w/ adam” pragmatic political commentator and zionist. founder and ceo of,tel aviv israel,,,,
amaliadoron,opinions are my own,tel aviv,,,,
AR__PU,monero,supranational monetary defi,,,,
moshes2912,יהיה בסדר.,ישראל,,,,
EstyS,אזרחית בתפקיד ||  בלילות חולמת על גרפים חשמליים,tel aviv - israel,,,,
AdrielBeneviste,"advogado 
compliance penal
estudioso do direito - 
am israel chaim
מרוח פיו של השקרן נעשה היצר הרע וכשיבוא משיח אז לא יהיה שקר ובשביל זה לא יהיה יצר הרע בעולם",jerusalém israel,,,,
BerentMoshe,,,,,,
democratechil,"הייטק לא יכול לצמוח בלי דמוקרטיה יציבה.
אין דמוקרטיה אין כלכלה אין הייטק.

הצטרפו אלינו",,,,,
Uvda_tweet,תוכנית התחקירים של ישראל מאז 1993. הצעות לכתבות : uvda@mako.co.il בטלמסר 072-3944333  או כאן,,,,,
Tani_Frank,מנהל המרכז ליהדות ומדינה מבית,israel,,,,
israzohar,חביב השונאים בטוויטר. ציוציי על דעתי מפוקפקת ככל שתהיה,,,,,
MichalBenArii,כתבת צבאית בבטאון חיל-האוויר (במיל׳) • עורכת חדשות ב-n12 (בדימוס) • מנהלת הדיגיטל של איש חשוב מאוד (בהווה).,,,,,
MarkLevineNYC,manhattan borough president. find me mostly elsewhere:,manhattan ny,,,,
gnz_ysr,תל אביבי. מנכל פורום הגבורה לשעבר. רכז ארגון בבני עקיבא. הציוצים על דעתי האישית. משתדל לקרוא פעמיים לפני שמגיב.,תל אביב,,,,
BigStivo_,הפועל. יותר גדול מאיציק,,,,,
dont_make_afuss,ההוא מהזה,,,,,
elbazr5,,israel,,,,
mz_nh45180,,,,,,
uricirlin1,מאמין בחיים מחוץ לכדור הארץ. מבין מאוד בהלכה. רק הפועל. lfc. בזכותי צה״ל כבש את החרמון הסורי,,,,,
Epoch_Magazine,מגזין | חדשות | פרשנויות,בן גוריון 20 גבעת שמואל,,,,
EFischberger,independent / freelance writer & investigator | fmr idf ssgt | words:,israel,,,,
moriatshuva1,הציוצים הם על דעתי האישית בלבד.,,,,,
QskGMqpKbSuU0vm,מרצה למדעי המדינה ודיקאן הסטודנטים במכללה האקדמית אשקלון,חולון,,,,
SivanRahav,"אשת תקשורת מרצה אימא לחמישה

mother journalist lecturer",,,,,
envirohaaretz,עיתונאי סביבה,,,,,
eliahu51,יועץ תאורה בכיר מומחה לתאורה בחללים גדולים כגון מחסנים לוגיסטיים מפעלים מגרשי ספורט אולמות ספורט  חנויות  מרכזים מסחריים בתי כנסיות ומסגדים. בתי כנסת.,ישראל,,,,
Schlesinger23,אם ביבי היה משה רבנוהיינו עדיין עבדים במצריים,ישראל,,,,
j_damari,שינה זה לחלשים,,,,,
LahavHarkov,senior political correspondent,jerusalem\tel aviv,,,,
MottyFarangy,אני לא מרגש אותי כלום חוץ מכדורגל עורך חדשות בכkן11 mottyf@kan.org.il,,,,,
JMileiElecto,"long live freedom damn it! 
mirror ai",argentina,,,,
TalShamay,חזאי חדשות 13,ישראל,,,,
BradSherman,proudly serving california's 32nd district in the u.s. congress. admission: some tweets are prepared by my staff on my behalf. rts are not an endorsement.,sherman oaks ca,,,,
sergio_barbanti,official profile of the ambassador of italy to israel.,,,,,
ERSpeiser,"עורך אחראי בהוצאת סלע מאיר. 
כותב על ארה""ב פוליטיקה היסטוריה תרבות פופולרית וכל מה שמעניין

managing editor sella meir publishing",jerusalem israel,,,,
amirshuan,"אקסית - ידיעות אחרונות.
נוכחית - הצינור",israel,,,,
NaorGozlan,gozlans holdings & investments. real estate foodtech retail e-commerce,palm beach gardens fl,,,,
mordiamar,,tel aviv . israel,,,,
Lauren_Provost,journalisme numérique dans un quotidien libre. directrice adjointe de la rédaction de,paris,,,,
Yesh_Din,yesh din is an israeli human rights ngo working in the occupied palestinian territories. mostly funded by foreign governmental entities and other boogiemen.,west bank/tel aviv,,,,
ElfeVan,,niederlande,,,,
asafzamir,וממלא מקומו,,,,,
Motek_mordehay,"ח""כ מותק מרדכי (תא""ל צבא הסוכריות של מותק) מסיעת בול באמצע זוכת המקום ה2 באח השורד הבא נולדה ביום בו רבין נרצח ומאמינה בשקיפות מלאה על מלא. חשבון הומוריסטי",ישראל,,,,
