username,bio,location,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score,target_population,locals_vs_diaspora,person_vs_organization,comments
RSNAKE9,ハーイ！私は日本人です。,black lodge somewhere in japan.,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,0,0,1,
DallalJanet,multi-culture ba in middle eastern and communication studies at bar ilan university born in iraq خريجة ثانوية التقدُّمة راهبات الباب الشرقي بغداد yoga,,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,1,1,1,
IgA_GE,die kritik an und der kampf gegen antisemitismus in all seinen erscheinungsvariationen sowie die solidarität mit allen betroffenen von antisemitismus,gelsenkirchen nordrhein-westf,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,2,2,2,
ChrisCuomo,@newsnation,in the moment,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,0,0,1,
insideoverita,insideover è un sito di reportage approfondimento e analisi su temi internazionali. grazie ai nostri lettori abbiamo realizzato reportage in tutto il mondo.,milan italy,1,0.336643378,0.329123367,0.336643378,0.334233255,0.663356622,0,0,0,
golda2024,מסניף שורות קוד ביום נמלט מ-ai בלילה.,,1,0.336643378,0.329123367,0.336643378,0.334233255,0.663356622,1,1,1,
NimEshed,multitasker art ai design. fighting for israeli democracy. cpp,,1,0.336643378,0.329123367,0.336643378,0.334233255,0.663356622,1,1,1,
Lowtech_feed,"מנהל מוצר בחברת הברגים  ai screws
יום אחד אהפוך לאקזיט
חי kpi ביום
חולים להיות הייטר בלילה
חפשו אותי במטאוורס",,1,0.336643378,0.329123367,0.336643378,0.334233255,0.663356622,1,1,1,
df1r633k,driving innovation with an ai-first approach | security operations | passionate threat hunter | dfir geek,,1,0.336643378,0.329123367,0.336643378,0.334233255,0.663356622,1,1,1,
Lealufim,"בעל תואר ai בתנ""ך",,1,0.336643378,0.329123367,0.336643378,0.334233255,0.663356622,1,1,1,
ErezRizoZohar,adventurer dreamer. traveler. creative. gen ai.,barcelona spain,1,0.336643378,0.329123367,0.336643378,0.334233255,0.663356622,1,0,1,
rotempe4,"vp r&d at package ai. 
youtube channel (minecraft) here:",,1,0.336643378,0.329123367,0.336643378,0.334233255,0.663356622,1,1,1,
joecole,human potential x software x ai. science maximalist. e/acc x h/acc. prev founded saas for pro sport & olympians.,the future,1,0.336643378,0.329123367,0.336643378,0.334233255,0.663356622,0,0,1,
BenBetzalel,"אונקולוג. עם דעות. לא תמיד ברורות.
וגם זה שחופר על ai.

hamas = isis",,1,0.336643378,0.329123367,0.336643378,0.334233255,0.663356622,1,1,1,
fl360aero,aviation news insight & analysis avenue that's answer to all ur needs in aviation across the globe.,av world,1,0.336649191,0.332569924,0.336649191,0.330780885,0.663350809,0,0,1,
GrossmanYosef,politics media and everything in between |  +00:00- | democracy is the worst form of government except for all the others that have been tried,גבעת שמואל,1,0.336649191,0.332569924,0.336649191,0.330780885,0.663350809,1,1,1,
mindjitsu,history nerd who tweets about whatever i'm interested in at that particular moment.,long island new york,1,0.336649191,0.332569924,0.336649191,0.330780885,0.663350809,0,0,1,
iampaniclothing,"the clothing brand that was never supposed to happen but did.

christian |
conservative |
american | addiction recovery advocate",mississippi gulf coast,1,0.336649191,0.332569924,0.336649191,0.330780885,0.663350809,0,0,1,
AFKurds,afk strengthens protects & promotes american-kurdish relations & supports policies that advance the national security & prosperity of americans & kurds.,washington dc,1,0.336649191,0.332569924,0.336649191,0.330780885,0.663350809,0,0,1,
Rondo2,1776 was a unique moment in human history that changed everything.,united states,1,0.336649191,0.332569924,0.336649191,0.330780885,0.663350809,0,0,1,
yifty_cent,here comes that sound again,,1,0.336649191,0.332569924,0.336649191,0.330780885,0.663350809,0,0,1,
RetroReport,stories from history that help you understand today. explore 300+ short docs lesson plans and more.,new york city,1,0.336649191,0.332569924,0.336649191,0.330780885,0.663350809,0,0,1,
Shluli,i can't believe i shaved for that.,ראש העין,1,0.336649191,0.332569924,0.336649191,0.330780885,0.663350809,1,1,1,
sarcasTV,life's a bitch and then you die that's why we get high cause u never know when u gone go,tlv,1,0.336649191,0.332569924,0.336649191,0.330780885,0.663350809,1,1,1,
LPDonovan,politics. hoyas. not that one. views expressed are mine alone obviously.,va,1,0.336649191,0.332569924,0.336649191,0.330780885,0.663350809,0,0,1,
YossiW10,"“i don't know anything but i do know that everything is interesting if you go into it deeply enough.”

― richard feynman",the milky way,1,0.336649191,0.332569924,0.336649191,0.330780885,0.663350809,1,1,1,
ReingoldInc,we’re a full-service strategic comms and marketing agency with mega-firm expertise and small-firm relationships. we help clients tell stories that get results.,alexandria va,1,0.336649191,0.332569924,0.336649191,0.330780885,0.663350809,0,0,0,
PershingSqFdn,we support exceptional leaders and innovative organizations that tackle important societal issues and deliver scalable and sustainable impact across the globe.,new york ny,1,0.336649191,0.332569924,0.336649191,0.330780885,0.663350809,0,0,0,
HundrEDorg,we are a mission driven organization that is transforming education through innovation.,finland,1,0.336649191,0.332569924,0.336649191,0.330780885,0.663350809,0,0,0,
ben_barkay,ער בלילות ועייף בימים.,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
Loz27564927,טכנולוגיה מדע נתונים כלכלה וכדורגל כמובן.,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
Stoic_Punk,תמיד יודע איפה המגבת שלו,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
uriel_yafi,קרדיולגיה,natanya,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
ores1111,הומלס פוליטי. רובינו מקשיבים מתוך כוונה לענות ולא מתוך כוונה להבין... סטיבן קובי,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
GilKanel,אוהב כדורגל  הציוצים על דעתי בלבד,one,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
M_D_D_A,דעו לכם הכל אפשר לבקש עם חיוך חוץ מקיסם | חרטטן מקצועי @צייצןשנמחק | אוהב להתווכח ומשתדל לטיעונים אובייקטיבים |,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
OccupationCat,"עדיין מוסרית יותר מצה""ל",,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
danezra129,http://,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
BitcoinliveDBJD,#bitcoin,amsterdam nederland,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,0,0,1,
rabbigreen,builder. educator. author. speaker. marketing. consultant. connector. managing editor,jerusalem & north america,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
ParentWannaBe,יו״ר ועד הורים במציאות של,אזור המרכז,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
IsraelNewsNow,current news about israeli science medicine finance start-ups education humor culture politics agriculture technology and life in the middle east,silicon valley california,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,0,0,0,
ZikriRoni,מי שמביט בי מאחור.....,בשרותים,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
Berzulik,exclusive songwriter and homemaker,חיפה,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
YKrupik,בדיוק אני כאן ובדיוק עם זרועות,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
ProjectorMayer,music is the most high,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
asaf_lib,,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
SwoleWorld,big personality. swole mentality.,wick city,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,0,0,0,
junior_cigano,fighter | lutador,miami fl,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,0,0,1,
TheFloridaBoy,florida born | buckeye | black belt world champ,hollywood los angeles,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,0,0,1,
abadon_AEW,"i am abadon. living dead girl. aew
i can never die.",,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
ofek_kasif,מצחיק כמעט כמו אבא שלי,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
yardenamir,מעצב // יוצר,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
shlomit23018914,,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
liorR97028439,,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
Barb1809,"אני פרח בר בת""ז",hell,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
yaaranezer1,הפועל אהובתי,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
The__Mustached,"حساب ساخر، ليس له علاقة ب إدي كوهين.

 חשבון פארודיה",montréal,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
dangoren4,למסירה - כדורסל,לוטראקי יוון,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
eg90090,"בעד חיסונים ומדע ** איש ימין ** מעריץ גדול של בגין (האב) ** ציוניבית''רימושבניקעירונידתל''שמכבד את כולם **
אינני מסכים עם דעתךאך אילחם על זכותך להביעה **",,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
Z6M7w1iXaLC6IM0,"אדם באשר הוא אדם רוצה אותו הדבר
בכל מקום בעולם",יבנה,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
milenmualem,כתבת ערוץ 14,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
meravcohenh,"כתבת בריאות וחינוך ערוץ 14. 
0546805959",,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
Idanhcadash,עוסק בתורה בלי ברכה תחילה ומקצץ בנטיעות כשאפשר. מחבר הבלוג 'אשכול הכופר'. היסטוריה מקרא צבא וטכנולוגיה. תתפלאו.,מתגורר בעתיד,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
HadasNathaniel,"מגישת מבזק חדשות ערוץ 14 | 
כתבת מגזין -המהדורה המרכזית",,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
TalHadad7,פה להקשיב.,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
UberFacts,the most unimportant things you’ll never need to know,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,0,0,1,
shirakaicohen,מגישה את פינת 'עכשיו ברשת' בערוץ 14,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
SpiderAnderson,bem-vindo ao perfil oficial de anderson silva. o maior lutador de mma de todos os tempos. mande o seu recado para o spider.,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,0,0,1,
stephaniemchase,pro wrestling journalist and interviewer- 80s dresser and dancer,toronto ontario,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,0,0,1,
AlexMcCarthy88,@mailsport,ig: alexmccarthyig,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
guypch2news,כתב משפט חדשות ערוץ 2,,0,0.337006221,0.337006221,0.33662131,0.32637247,0.662993779,1,1,1,
