username,bio,location,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score
Amirski,humanist cynicism advocate agnostic atheist science & tech enthusiast conservative liberal  married with 3 kids scored 4 tds in a single game in polk high,,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
JackMukand,translator news producer journalist based in jerusalem/whatsapp: +14015752281,,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
itamar_green,in a military prison,,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
vivetchka,vaccinated and masked writer in corona days. my rt's are in the majority endorsements.,i̇stanbul,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
DarthHummuss,"hummus = life.

ma in international relations.

work in natsec.

words in scattered places.

tweeting anonymously - mostly about the middle east.",,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
RSNAKE9,ハーイ！私は日本人です。,black lodge somewhere in japan.,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
DallalJanet,multi-culture ba in middle eastern and communication studies at bar ilan university born in iraq خريجة ثانوية التقدُّمة راهبات الباب الشرقي بغداد yoga,,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
IgA_GE,die kritik an und der kampf gegen antisemitismus in all seinen erscheinungsvariationen sowie die solidarität mit allen betroffenen von antisemitismus,gelsenkirchen nordrhein-westf,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
ChrisCuomo,@newsnation,in the moment,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
insideoverita,insideover è un sito di reportage approfondimento e analisi su temi internazionali. grazie ai nostri lettori abbiamo realizzato reportage in tutto il mondo.,milan italy,1,0.3366433777752528,0.3291233670948897,0.3366433777752528,0.3342332551298574,0.6633566222247472
golda2024,מסניף שורות קוד ביום נמלט מ-ai בלילה.,,1,0.3366433777752528,0.3291233670948897,0.3366433777752528,0.3342332551298574,0.6633566222247472
NimEshed,multitasker art ai design. fighting for israeli democracy. cpp,,1,0.3366433777752528,0.3291233670948897,0.3366433777752528,0.3342332551298574,0.6633566222247472
Lowtech_feed,"מנהל מוצר בחברת הברגים  ai screws
יום אחד אהפוך לאקזיט
חי kpi ביום
חולים להיות הייטר בלילה
חפשו אותי במטאוורס",,1,0.3366433777752528,0.3291233670948897,0.3366433777752528,0.3342332551298574,0.6633566222247472
df1r633k,driving innovation with an ai-first approach | security operations | passionate threat hunter | dfir geek,,1,0.3366433777752528,0.3291233670948897,0.3366433777752528,0.3342332551298574,0.6633566222247472
Lealufim,"בעל תואר ai בתנ""ך",,1,0.3366433777752528,0.3291233670948897,0.3366433777752528,0.3342332551298574,0.6633566222247472
ErezRizoZohar,adventurer dreamer. traveler. creative. gen ai.,barcelona spain,1,0.3366433777752528,0.3291233670948897,0.3366433777752528,0.3342332551298574,0.6633566222247472
rotempe4,"vp r&d at package ai. 
youtube channel (minecraft) here:",,1,0.3366433777752528,0.3291233670948897,0.3366433777752528,0.3342332551298574,0.6633566222247472
joecole,human potential x software x ai. science maximalist. e/acc x h/acc. prev founded saas for pro sport & olympians.,the future,1,0.3366433777752528,0.3291233670948897,0.3366433777752528,0.3342332551298574,0.6633566222247472
BenBetzalel,"אונקולוג. עם דעות. לא תמיד ברורות.
וגם זה שחופר על ai.

hamas = isis",,1,0.3366433777752528,0.3291233670948897,0.3366433777752528,0.3342332551298574,0.6633566222247472
fl360aero,aviation news insight & analysis avenue that's answer to all ur needs in aviation across the globe.,av world,1,0.3366491912918563,0.332569924052519,0.3366491912918563,0.3307808846556245,0.6633508087081437
GrossmanYosef,politics media and everything in between |  +00:00- | democracy is the worst form of government except for all the others that have been tried,גבעת שמואל,1,0.3366491912918563,0.332569924052519,0.3366491912918563,0.3307808846556245,0.6633508087081437
mindjitsu,history nerd who tweets about whatever i'm interested in at that particular moment.,long island new york,1,0.3366491912918563,0.332569924052519,0.3366491912918563,0.3307808846556245,0.6633508087081437
iampaniclothing,"the clothing brand that was never supposed to happen but did.

christian |
conservative |
american | addiction recovery advocate",mississippi gulf coast,1,0.3366491912918563,0.332569924052519,0.3366491912918563,0.3307808846556245,0.6633508087081437
AFKurds,afk strengthens protects & promotes american-kurdish relations & supports policies that advance the national security & prosperity of americans & kurds.,washington dc,1,0.3366491912918563,0.332569924052519,0.3366491912918563,0.3307808846556245,0.6633508087081437
Rondo2,1776 was a unique moment in human history that changed everything.,united states,1,0.3366491912918563,0.332569924052519,0.3366491912918563,0.3307808846556245,0.6633508087081437
yifty_cent,here comes that sound again,,1,0.3366491912918563,0.332569924052519,0.3366491912918563,0.3307808846556245,0.6633508087081437
RetroReport,stories from history that help you understand today. explore 300+ short docs lesson plans and more.,new york city,1,0.3366491912918563,0.332569924052519,0.3366491912918563,0.3307808846556245,0.6633508087081437
Shluli,i can't believe i shaved for that.,ראש העין,1,0.3366491912918563,0.332569924052519,0.3366491912918563,0.3307808846556245,0.6633508087081437
sarcasTV,life's a bitch and then you die that's why we get high cause u never know when u gone go,tlv,1,0.3366491912918563,0.332569924052519,0.3366491912918563,0.3307808846556245,0.6633508087081437
LPDonovan,politics. hoyas. not that one. views expressed are mine alone obviously.,va,1,0.3366491912918563,0.332569924052519,0.3366491912918563,0.3307808846556245,0.6633508087081437
YossiW10,"“i don't know anything but i do know that everything is interesting if you go into it deeply enough.”

― richard feynman",the milky way,1,0.3366491912918563,0.332569924052519,0.3366491912918563,0.3307808846556245,0.6633508087081437
ReingoldInc,we’re a full-service strategic comms and marketing agency with mega-firm expertise and small-firm relationships. we help clients tell stories that get results.,alexandria va,1,0.3366491912918563,0.332569924052519,0.3366491912918563,0.3307808846556245,0.6633508087081437
PershingSqFdn,we support exceptional leaders and innovative organizations that tackle important societal issues and deliver scalable and sustainable impact across the globe.,new york ny,1,0.3366491912918563,0.332569924052519,0.3366491912918563,0.3307808846556245,0.6633508087081437
HundrEDorg,we are a mission driven organization that is transforming education through innovation.,finland,1,0.3366491912918563,0.332569924052519,0.3366491912918563,0.3307808846556245,0.6633508087081437
ben_barkay,ער בלילות ועייף בימים.,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
Loz27564927,טכנולוגיה מדע נתונים כלכלה וכדורגל כמובן.,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
Stoic_Punk,תמיד יודע איפה המגבת שלו,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
uriel_yafi,קרדיולגיה,natanya,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
ores1111,הומלס פוליטי. רובינו מקשיבים מתוך כוונה לענות ולא מתוך כוונה להבין... סטיבן קובי,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
GilKanel,אוהב כדורגל  הציוצים על דעתי בלבד,one,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
M_D_D_A,דעו לכם הכל אפשר לבקש עם חיוך חוץ מקיסם | חרטטן מקצועי @צייצןשנמחק | אוהב להתווכח ומשתדל לטיעונים אובייקטיבים |,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
OccupationCat,"עדיין מוסרית יותר מצה""ל",,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
danezra129,http://,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
BitcoinliveDBJD,#bitcoin,amsterdam nederland,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
rabbigreen,builder. educator. author. speaker. marketing. consultant. connector. managing editor,jerusalem & north america,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
ParentWannaBe,יו״ר ועד הורים במציאות של,אזור המרכז,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
IsraelNewsNow,current news about israeli science medicine finance start-ups education humor culture politics agriculture technology and life in the middle east,silicon valley california,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
ZikriRoni,מי שמביט בי מאחור.....,בשרותים,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
Berzulik,exclusive songwriter and homemaker,חיפה,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
YKrupik,בדיוק אני כאן ובדיוק עם זרועות,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
ProjectorMayer,music is the most high,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
asaf_lib,,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
SwoleWorld,big personality. swole mentality.,wick city,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
junior_cigano,fighter | lutador,miami fl,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
TheFloridaBoy,florida born | buckeye | black belt world champ,hollywood los angeles,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
abadon_AEW,"i am abadon. living dead girl. aew
i can never die.",,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
ofek_kasif,מצחיק כמעט כמו אבא שלי,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
yardenamir,מעצב // יוצר,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
shlomit23018914,,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
liorR97028439,,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
Barb1809,"אני פרח בר בת""ז",hell,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
yaaranezer1,הפועל אהובתי,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
The__Mustached,"حساب ساخر، ليس له علاقة ب إدي كوهين.

 חשבון פארודיה",montréal,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
dangoren4,למסירה - כדורסל,לוטראקי יוון,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
eg90090,"בעד חיסונים ומדע ** איש ימין ** מעריץ גדול של בגין (האב) ** ציוניבית''רימושבניקעירונידתל''שמכבד את כולם **
אינני מסכים עם דעתךאך אילחם על זכותך להביעה **",,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
Z6M7w1iXaLC6IM0,"אדם באשר הוא אדם רוצה אותו הדבר
בכל מקום בעולם",יבנה,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
milenmualem,כתבת ערוץ 14,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
meravcohenh,"כתבת בריאות וחינוך ערוץ 14. 
0546805959",,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
Idanhcadash,עוסק בתורה בלי ברכה תחילה ומקצץ בנטיעות כשאפשר. מחבר הבלוג 'אשכול הכופר'. היסטוריה מקרא צבא וטכנולוגיה. תתפלאו.,מתגורר בעתיד,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
HadasNathaniel,"מגישת מבזק חדשות ערוץ 14 | 
כתבת מגזין -המהדורה המרכזית",,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
TalHadad7,פה להקשיב.,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
UberFacts,the most unimportant things you’ll never need to know,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
shirakaicohen,מגישה את פינת 'עכשיו ברשת' בערוץ 14,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
SpiderAnderson,bem-vindo ao perfil oficial de anderson silva. o maior lutador de mma de todos os tempos. mande o seu recado para o spider.,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
stephaniemchase,pro wrestling journalist and interviewer- 80s dresser and dancer,toronto ontario,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
AlexMcCarthy88,@mailsport,ig: alexmccarthyig,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
guypch2news,כתב משפט חדשות ערוץ 2,,0,0.3370062208159715,0.3370062208159715,0.3366213096638317,0.3263724695201966,0.6629937791840285
