username,bio,location,target_population,locals_vs_diaspora,person_vs_organization,comments
warnerthuston,freelance writer breitbart news western journal and many many more. many time tv and radio guest. email: igcolonel@hotmail.com,chicago ill.,0,0,1,
The_Adams1,they told me to use the brain god gave me. i did now am atheist מועתק  אבל חמוד...,israel,1,1,1,
Israellycool,proud jew. ozraeli. executive director israellycool israel advocacy. middle east analyst. antisemites beware.,israel,1,1,1,
jk006d,love fauda and israel baseball. unofficial president of ritchie torres & haviv rettig gur fan clubs. release the hostages now! עם ישראל חי,secret hq,1,2,1,
zalmanovitz,בזמני הפנוי יהודי פשוט,jerusalem israel,1,1,1,
orasetter,14th generation in israel. ph.d. in management studies. past ceo and academic director of the executive   education center in tau  head of  od association.,,1,1,1,
Dudibnhmo,עיתונאי ומגיש 'כיכר השבת'. לשעבר כתב ומגיש בערוץ 7. ועורך ומגיש בחדשות הסקופים.,ירושלים,1,1,1,
miluimnikim,"אנחנו המילואימניקים שנלחמים ברגעים אלה על הבית מבינים שהפעם המשימה שלנו לא נגמרת בשדה הקרב.
חתמו על מתווה הגיוס שלנו",,1,1,0,
orenlebovitch,,israel,1,1,1,
feministitFTW,"הבו לנו פטיש.
connect@feministit.co.il",ישראל,1,1,0,
GenFlynn,faith family freedom twice a best selling author. former national security advisor to 45th potus.,local action,0,2,1,
zionutdatit,הדף הרשמי של מפלגת הציונות הדתית בראשות בצלאל סמוטריץ',ישראל,1,1,1,
DaliaHochberg,"קיבוצניקית קצינה צנחנית סא""ל מנכ""לת מרכז המרצים לישראל אמא של יעל ודניאל שותפה ב onlive   האנשים הכי משפיעים בישראל לייב אצלכם בסלון",israel,1,1,1,
ksminnovation,kahn-sagol-maccabi (ksm) is the research and innovation center of maccabi healthcare services,tel aviv,1,1,1,
shwrzenberg,החיים עוד לא חזרו למסלולם ״הפצעים עדיין לא הגלידו אולי זה יישאר כבר לעולם אולי צריך לתת לזה עוד זמן מה יהיה ימים יגידו אולי צריך לתת לזה עוד זמן״,ישראל,1,1,1,
GSzneiberg,יליד בואנוס איירס ופעיל ירושלמי עובד בנק וסוציאל דמוקרט פסיכולוג ומנתח מערכות.,jerusalem,1,1,1,
aronkalman1,תקשורת • סטודנט למשפטים,,1,1,1,
ExArcanaImperii,𝐏𝐡𝐃,whitechapel london,0,0,1,
PearlmanYeC,#torah,mount tzion,2,2,2,
Arabhebre,"חדשות יומיות בערבית מדוברת תעתיק תרגום ואוצר מילים לשינון.

חדשות בערבית גם בטלגרם",,1,1,0,
Hollandia_il,מערכות השינה הטובות בעולם,,1,1,0,
yoaveven,כתב לענייני בריאות חדשות ערוץ 2,תל אביב,1,1,1,
YMalulu,מצחיקה את עצמי.,,1,1,1,
tomweg,author of the bestseller cannabis wars and gold medal winner of the global books award. strategic consultant and legalization advocate.,ישראל,1,1,1,
UriSadot,,tel-aviv israel,1,1,1,
EmekShaveh,jerusalem-based organization of archaeologists and community activists focusing on the role of archaeology in society and in the israeli-palestinian conflict.,jerusalem,1,1,0,
itamarfleishe,כמים הפנים אל הפנים כן לב האדם אל האדם,ישראל,1,1,1,
uriweltmann,אורגנייזר ארצי - תנועת עומדים ביחד,תל-אביב تل ابيب tel-aviv,1,1,0,
Roni_katz1,,,1,1,1,
Energy_IL,the official twitter account of israel’s ministry of energy & infrastructure  החשבון הרשמי של משרד האנרגיה והתשתיות,בנק ישראל 7 ירושלים,1,1,0,
MariaGArocha,venezolana portugueseña araureña defensora de los ddhh. presidente regional de encuentro ciudadano portuguesa.,venezuela,0,0,1,
lopoter,,israel,1,1,1,
hadarseg,,tel aviv,1,1,1,
marymauldin,#godisamongus,descendant-puritans here 1636,0,1,1,
adamscottbellos,host of “unfiltered w/ adam” pragmatic political commentator and zionist. founder and ceo of,tel aviv israel,1,1,1,
amaliadoron,opinions are my own,tel aviv,1,1,1,
AR__PU,monero,supranational monetary defi,2,2,2,
moshes2912,יהיה בסדר.,ישראל,1,1,1,
EstyS,אזרחית בתפקיד ||  בלילות חולמת על גרפים חשמליים,tel aviv - israel,1,1,1,
AdrielBeneviste,"advogado 
compliance penal
estudioso do direito - 
am israel chaim
מרוח פיו של השקרן נעשה היצר הרע וכשיבוא משיח אז לא יהיה שקר ובשביל זה לא יהיה יצר הרע בעולם",jerusalém israel,1,1,1,
BerentMoshe,,,1,1,1,
democratechil,"הייטק לא יכול לצמוח בלי דמוקרטיה יציבה.
אין דמוקרטיה אין כלכלה אין הייטק.

הצטרפו אלינו",,1,1,0,
Uvda_tweet,תוכנית התחקירים של ישראל מאז 1993. הצעות לכתבות : uvda@mako.co.il בטלמסר 072-3944333  או כאן,,1,1,0,
Tani_Frank,מנהל המרכז ליהדות ומדינה מבית,israel,1,1,1,
israzohar,חביב השונאים בטוויטר. ציוציי על דעתי מפוקפקת ככל שתהיה,,1,1,1,
MichalBenArii,כתבת צבאית בבטאון חיל-האוויר (במיל׳) • עורכת חדשות ב-n12 (בדימוס) • מנהלת הדיגיטל של איש חשוב מאוד (בהווה).,,1,1,1,
MarkLevineNYC,manhattan borough president. find me mostly elsewhere:,manhattan ny,0,0,1,
gnz_ysr,תל אביבי. מנכל פורום הגבורה לשעבר. רכז ארגון בבני עקיבא. הציוצים על דעתי האישית. משתדל לקרוא פעמיים לפני שמגיב.,תל אביב,1,1,1,
BigStivo_,הפועל. יותר גדול מאיציק,,1,1,1,
dont_make_afuss,ההוא מהזה,,1,1,1,
elbazr5,,israel,1,1,1,
mz_nh45180,,,1,1,1,
uricirlin1,מאמין בחיים מחוץ לכדור הארץ. מבין מאוד בהלכה. רק הפועל. lfc. בזכותי צה״ל כבש את החרמון הסורי,,1,1,1,
Epoch_Magazine,מגזין | חדשות | פרשנויות,בן גוריון 20 גבעת שמואל,1,1,1,
EFischberger,independent / freelance writer & investigator | fmr idf ssgt | words:,israel,1,1,1,
moriatshuva1,הציוצים הם על דעתי האישית בלבד.,,1,1,1,
QskGMqpKbSuU0vm,מרצה למדעי המדינה ודיקאן הסטודנטים במכללה האקדמית אשקלון,חולון,1,1,1,
SivanRahav,"אשת תקשורת מרצה אימא לחמישה

mother journalist lecturer",,1,1,1,
envirohaaretz,עיתונאי סביבה,,1,1,1,
eliahu51,יועץ תאורה בכיר מומחה לתאורה בחללים גדולים כגון מחסנים לוגיסטיים מפעלים מגרשי ספורט אולמות ספורט  חנויות  מרכזים מסחריים בתי כנסיות ומסגדים. בתי כנסת.,ישראל,1,1,1,
Schlesinger23,אם ביבי היה משה רבנוהיינו עדיין עבדים במצריים,ישראל,1,1,1,
j_damari,שינה זה לחלשים,,1,1,1,
LahavHarkov,senior political correspondent,jerusalem\tel aviv,1,1,1,
MottyFarangy,אני לא מרגש אותי כלום חוץ מכדורגל עורך חדשות בכkן11 mottyf@kan.org.il,,1,1,1,
JMileiElecto,"long live freedom damn it! 
mirror ai",argentina,0,0,1,
TalShamay,חזאי חדשות 13,ישראל,1,1,1,
BradSherman,proudly serving california's 32nd district in the u.s. congress. admission: some tweets are prepared by my staff on my behalf. rts are not an endorsement.,sherman oaks ca,0,0,1,
sergio_barbanti,official profile of the ambassador of italy to israel.,,0,0,1,
ERSpeiser,"עורך אחראי בהוצאת סלע מאיר. 
כותב על ארה""ב פוליטיקה היסטוריה תרבות פופולרית וכל מה שמעניין

managing editor sella meir publishing",jerusalem israel,1,1,1,
amirshuan,"אקסית - ידיעות אחרונות.
נוכחית - הצינור",israel,1,1,1,
NaorGozlan,gozlans holdings & investments. real estate foodtech retail e-commerce,palm beach gardens fl,0,0,1,
mordiamar,,tel aviv . israel,1,1,1,
Lauren_Provost,journalisme numérique dans un quotidien libre. directrice adjointe de la rédaction de,paris,0,0,1,
Yesh_Din,yesh din is an israeli human rights ngo working in the occupied palestinian territories. mostly funded by foreign governmental entities and other boogiemen.,west bank/tel aviv,1,1,2,
ElfeVan,,niederlande,0,0,1,
asafzamir,וממלא מקומו,,1,1,1,
Motek_mordehay,"ח""כ מותק מרדכי (תא""ל צבא הסוכריות של מותק) מסיעת בול באמצע זוכת המקום ה2 באח השורד הבא נולדה ביום בו רבין נרצח ומאמינה בשקיפות מלאה על מלא. חשבון הומוריסטי",ישראל,1,1,1,
