username,bio,location,locals_vs_diaspora,comments,iteration
ShaharTzafrir,"emmet: ""i think i got it but just in case tell me the whole thing again i wasn't listening.""",israel,1,ישראלי גר בארץ,3
3rd_call,"my new page after israel’s haters reported the previous one and got it suspended.

״הפודקאסט של רז זאובר״ ביוטיוב ובשאר פלטפורמות הפודקאסטים.",,2,משתמש לא נמצא,3
AmbModiEphraim,ambassador of,,1,יועץ של הנשיר בישראל,3
VeraBaboun,ambassador of palestine,santiago chile,0,לא ישראלית,3
hnonoo75,former ambassador of,bahrain,0,שגרירה מהעבר של בחרין,3
ronenhoffman,former ambassador of,ottawa ontario,2,שגריר של ישראל מהעבר במדינה אחרת לכן לא ברור איפה מגורר עכשיו,3
HaimRegev,ambassador of,,0,שגריר ישראל באירופה,3
EkalMoses,"christ ambassador||husband||father(a 3 star general)||lead educator||political enthusiast.
son of mary||keekorongole finest.",turkwelkenya,0,מטורקיה,3
BenStiller,unhcr goodwill ambassador,red hour films ny-la,0,לא מישראל,3
ciguleva,creative ambassador,canada,0,מקנדה,3
imserioslyRafi,orthodox jew | conservative | i love my religion i love my family i love my country.,land of the free,0,ישראלי שלא גר בישראל,3
barbendavid,"when nothing as it seems 
you must close your eyes to see 

i love",she\her givat nili  israel,1,ישראלי שגר בישראל,3
IsraelinLA,#israel,los angeles ca,0,נציגות דיפלומטית של ישראל בלוס אנגלס,3
boazhepner,rn with a love for israel,los angeles,0,לא ידוע אם ישראלי כוב שאוהב את ישראל אבל השם ישראלי לכן כתבתי 2,3
GMJuditPolgar,the greatest female chess player of all time ambassador of chess in education european chess legend member of the wchf.,budapest,0,לא מישראל,3
nikolaosvandam,former ambassador of the,the netherlands,0,לא ישראלי,3
MfaEgypt,official account of ambassador tamim khallaf spokesperson for the ministry of foreign affairs of egypt,القاهرة مصر,0,לא ישראלי,3
IRF_Ambassador,official account of the u.s. ambassador advancing,washington dc,2,לא יודע אין פרטים,3
Hamedinai,entrepreneur investor israeli activist • 20yrs in us now back home • married & father x 3 • geopolitics economics tech vc • i get s#it done •,ישראל,1,ישראלי,3
amitharp,“if a w\man is not a socialist by the time \she is 20 s\he has no heart. if s\he is not a socialist by the time s\he is 40 s\he has resigned all hope”,,2,ישראלי לא ידוע איפה מתגורר,3
1LinePerDay,i see offline people!,שורות - הספר:,1,ישראלי,3
Shadrack_NBSO,the secret of happiness is freedom the secret of freedom is courage.,,0,לא ישראלי,3
YNHallak,birds can fly & so can i... rts; not endorsements! see brief profile:,seattle wa,0,,3
Desert_Eagle_,positivity promoting community ideas freedom of speech discussion on global events and news.,,0,,3
TomCottonAR,u.s. senator for arkansas. for official updates see,dardanelle ar,0,סנאטור אמריקאי,3
chiproytx,husband father cancer survivor congressman from the great state of texas. freedom works.,austin texas,0,לא ישראלי,3
Hind_Gaza,i tweet what i see & feel.  this is my only x account - my instagram is deactivated.,gaza strip,0,לא ישראלית,3
YoniHaimovich,אזרח מודאג מתכנת מוזיקאי יוצר תוכן.,,1,ישראלי,3
yollancohen,אוהבת את עמי את ארצי ואת יוצר האדם| כתבת חדשות 12,,1,ישראלית כתבת חדשות,3
NeatManIL,מטייל על הגבול בין גאונות לטמטום,,1,ישראלי,3
EldadYaronMedia,media | communications | public relations,nyc,0,ישראלי שגר בנויורק,3
hotnoshboston,hnb has opened up the world of automated dining. @ fenway park td garden bcec brigham hospital childrens hospital brandeis university maimonides school etc.,boston ma,0,לא ידוע אישי או חברה,3
HaYehudim_Baim,חשבון מעריצים של הסדרה האגדתית מבית כאן 11 (חשבון סאטירי - כל הנאמר כאן נאמר על דעת מפעיל החשבון בלבד) | עקבו גם אחר,ארץ הקודש,1,היהודים באים,3
CBeyar,כתב כאן חדשות בחיפה והצפון,,1,ישראלי מגיש בכאן 11,3
snirdesign,"איש חינוך אמן פלסטלינה (פַּסָּלטֵלִינָה)
בוגר האקדמיה לעיצוב ויצו קנדה ומרכז מנדל למנהיגות בנגב כותב ביקורות ספרים.",tel aviv,1,ישראלי,3
odaskal,עיתונאי | כתבתי ספר | מרצה,tel aviv,1,ישראלי,3
barakbl,מייסד האשטאג,tel aviv,1,ישראלי,3
yanivbiton99,יניב ביטון,,1,ישראלי,3
i24NEWS_AR,القناة العالمية i24news تبث برامجها بالإنجليزية، العربية والفرنسية من ميناء يافا.,tel-aviv jaffa,1,חדשות 24,3
LiranHaroni,,,1,ישראלי,3
P_Klochendler,tv & print journo & doc filmmaker. ex-cnn field producer,,1, ישראלי כתב ב24,3
frankmelloul,chairman,tel aviv - jaffa,1,יושב ראש 24,3
hagaigolan101,,,1,ישראלי,3
LapidusZal86760,"amo el fútbol y la política pero el judaísmo arriba de todo
אוהב פוליטיקה וכדור רגל  אבל יהדות קודמת לכול",,2,לא ידוע אם ישראלי או לא כתוב אוהב פוליטיקה אבל גם כותב בספרדית,3
isaachaberman,המבין יבין,new york new york,0,לא ידוע האם ישראלי אך ידוע שלא גר בארץ,3
MOC_Israel,"המשרד אחראי לפיתוח תשתיות התקשורת ואמון על פתיחת שוק התקשורת לתחרות.
עמוד זה אינו מחליף את האופן הרשמי להגשת פניות.",ירושלים,1,משרד התקשורת,3
gMnukAg0bYx3jAY,מנהלת מחוז הצפון משרד החינוך,,1,ישראלית,3
OmriBarak,ex tech correspondent,tel-avivisrael,1,ישראלי,3
bumerit1000,די לאנושות.,,1,ישראלית,3
MDarabaner,"מראש אני מצהיר שאני טועה.
פנסיונר של מע' הבטחון נכה צהל חובב ממלכת תאילנד. 
 משתדל להיות אדם חיובי",earth,1,ישראלי,3
ISRAELJAITOVICH,piloto • actor • comediante • productor,mexico,0,קוראים לו ישרא אבל אין סימנים שמזהים שהוא ישראלי לכן כתבתי 2,3
SpiritRider1,spirit doing her best 2cope with this human exprience,#1ddrive#teamstallion#tmpetal,1,ישראלי,3
jereisrael,pasión x las motos mis hijas y the lost explorer mezcal. ex piloto profesional dakar rally / ama mx & sx / isde 2007 / cáncer surviver,chile,0,לא ישראלי,3
YouthViolenceIL,"שמאלני לא שונא את ביבי.
  פשיעה ערבית פרוטקשן רצח על רקע  כבוד המשפחה אובדן ריבונות בנגב ובגליל בניה בלתי חוקית צביעות של חברי כנסת ערבים וחומוס..",gaza,0,ועדה כלשהי בעולם,3
Meir_Marciano,"//
meirm@assuta.co.il",,1,ישראלי,3
dorel310,,,1,ישראלי,3
erezruby,"head of creative - pm bennett's 2021 elections campaign
genai keynote speaker
ai community leader
ai creative business navigator",tel-aviv,1,ישראלי,3
talibrill,"גרה במדבר אבל גם ברשתמומחית 
לג'ינגול תמידי בין עבודה לשלושה ילדים כלבה וחתולה חובבת חידושים ומשתדלת להיות ידידותית למשתמש וגם לסביבה",,1,ישראלית,3
guypines,- גיא פינס באתר טוקבק - עדכונים שוטפים של כל הכתבות שקשורות אל גיא פינס ולתוכנית 'ערב טוב עם גיא פינס' - מומלץ!,,1,גיא םינס עדכטנים,3
hadas1975,"lifecoach mbti profiler i24news wellness correspondent idf reservist 
slowly but surely evolving",,0,לא ישראלית,3
owenalterman,פרשן מהדורת הצוהריים כתב דסק אמריקה,tel aviv,1,ישראלי,3
KadoshNaama,journalist i24news,,1,ישראלית,3
jcbanoun1,journaliste / présentateur du journal chez,tel aviv,1,גר בישראל,3
yuvalzaushnicar,״זה מורכב״ החל מה-7/10 וכותבת על זה,,1,ישראלית,3
Boaz_Cohen,שדרן וגם פסנתרן. זה הדף הפרטי והאישי שלי,בבורקס,1,ישראלי,3
orly_segev,director of special projects at the sagol school of neuroscience,,1,ישראלית,3
AlexRif3,משוררת פעילה חברתית מנכ״לית לובי המיליון המקדם זכויות של ישראלים דוברי רוסית. יש לי בן זוג מהמם ושלושה קבבונים,tel aviv,1,ישראלית,3
matan5677,2006 | יו''ר נוער הדמוקרטים | ציוני | דתי | סובל מתסמונת נדירה של מגפון לווריד | את השאר תנחשו,,1,חשבון לא נמצא אך לפי הנתונים פה מוצג כישראלי לכל דבר,3
HillaTalAvitan,israeli in texas,austin tx,1,ישראלית,3
gilad_only,ציני מאוד| משפיען תחב״ץ בנכר והסנדק של רג׳י| צייצן הולסום |,,0,ישראלי שלא גר בישראל,3
storyteller_il,"איש של מילים |
רציני ביום סטוריטלר בלילה | חפירות וסיפורים |
מקסימום נגיד שהכרנו בטינדר",,1,ישראלי,3
jtoonkel,deputy media editor the wall street journal. jessica.toonkel@wsj.com. rts not endorsements. dms open,new york,0,לא ישראלית,3
KaplanYermi,אמן יוצר מוסיקאי הופך שולחנות הוגה דעות וחייב פודקאסט רשמי,,1,מוסיקאי ישראלי,3
cyd_social,hi my name is cyd! i can help you claw back your data from big tech starting with deleting all your tweets for free,,0,לא ישראלי חברה לשחזור נתונים,3
philvischer,filmmaker,west chicago il,0,,3
oritrgmn,סטודנטית לגיאופיזיקה בת״א. אוהבת יחידות שמות של עננים וצ׳יפס מתובל,,1,ישראלית,3
OfraBarOr,ceramic &mandala artist,tel aviv,1,ישראלית,3
AyaArmoni,תל אביבית מרמת גן,,1,ישראלית,3
shulibn,,,1,ישראלית,3
Dachniella,מוכיחה שזה לא מאוחר מידי להיות פאנגירל בעשור הרביעי לחיי.,tlv (not the show),1,ישראלית,3
yafiti,אמא לשני פושעים קטנים מנתחת מערכות ביום סקראפרית מכורה בלילה וגם מעבירה סדנאות שוות אלופת המזרח התיכון במציאת דברים לא חשובים בגוגל,tel aviv,1,ישראלית,3
LiorSchillat,"מנכ""ל משרד האנרגיה לשעבר מתעניין בכלכלה אנרגיה תחבורה ירושלים חרדים וגיאופוליטיקה. ירושלמי בלב (וגם בתז)",jerusalem,1,ישראלי מנכל משרד האנרגיה לשעבר,3
