username,target_population,locals_vs_diaspora,person_vs_organization,consensus_source
adikahaner,1,1,1,iteration_2_manual
Eliezer_yehoda,1,1,1,iteration_2_manual
IlanLukatch,1,1,1,iteration_2_manual
Hi_Its_Oz,1,1,1,iteration_2_manual
OnceAnAngel18,1,1,1,iteration_2_manual
fridman_liran,1,1,1,iteration_2_manual
Secury3759,0,0,1,iteration_2_manual
Pink,0,0,1,iteration_2_manual
selenagomez,0,0,1,iteration_2_manual
marieclaire,0,0,1,iteration_2_manual
Drake,0,0,1,iteration_2_manual
pitbull,0,0,1,iteration_2_manual
NiallOfficial,0,0,0,iteration_2_manual
GavishAmit,1,1,1,iteration_2_manual
kobizal,1,1,1,iteration_2_manual
dormoalem,1,1,1,iteration_2_manual
RozenNir,1,1,1,iteration_2_manual
drorrefael,1,1,1,iteration_2_manual
Marikbrest,0,0,1,iteration_2_manual
haakravit,1,1,1,iteration_2_manual
yaakovmatan,1,1,1,iteration_2_manual
erezcarmel,1,1,1,iteration_2_manual
MaarivOnline,1,1,0,iteration_2_manual
SculptorMo,0,0,1,iteration_2_manual
Galgush,1,1,1,iteration_2_manual
Zahavim2,1,1,1,iteration_2_manual
Slonim,1,1,1,iteration_2_manual
regev_miri,1,1,1,iteration_2_manual
MBlumenblat,1,1,1,iteration_2_manual
dushi120,1,1,1,iteration_2_manual
Jane_Bordo,1,1,1,iteration_2_manual
GalLevanon,0,0,1,iteration_2_manual
Hakufsah,1,1,1,iteration_2_manual
rafiaboulafia,1,1,1,iteration_2_manual
yigalon,1,1,1,iteration_2_manual
tzur_eran,1,1,1,iteration_2_manual
PINIBalili383,1,1,1,iteration_2_manual
renanafriedman,1,1,1,iteration_2_manual
nitzan_levy29,1,1,1,iteration_2_manual
OmerMaman5,1,1,1,iteration_2_manual
shilonavi,1,1,1,iteration_2_manual
AdvHimi,1,1,1,iteration_2_manual
IdanMartin1,1,1,1,iteration_2_manual
segal_ariella,1,1,1,iteration_2_manual
yanirs14,1,1,1,iteration_2_manual
OmriTal_,1,1,1,iteration_2_manual
AVI_MAOZ,1,1,1,iteration_2_manual
HadasSheinfeld,1,1,1,iteration_2_manual
Sea_Wave,1,1,1,iteration_2_manual
F4TMONK3Y,1,1,1,iteration_2_manual
MLoeub,1,1,1,iteration_2_manual
sheziff,1,1,1,iteration_2_manual
bodkim2022,1,1,0,iteration_2_manual
HermannItai,1,1,1,iteration_2_manual
nton_eldar,1,1,1,iteration_2_manual
Mishel_pru,1,1,1,iteration_2_manual
EurovisionewsIL,1,1,0,iteration_2_manual
roni66666666,1,1,1,iteration_2_manual
Uri__Cohen,1,1,1,iteration_2_manual
itay_itayasher,1,1,1,iteration_2_manual
dukidror,1,1,1,iteration_2_manual
yreguer,1,1,1,iteration_2_manual
