username,bio,location,target_population,consensus_source
marmeladda,לצלםלרקודלטייללקרוא ולכתוב. בלוגמרמלדה על החייםאמהותטיולים ובעיקר המלצת ספרים וגם ספר ילדים פרי עטי ומצלמתי. שמחה לתגובות,israel jerusalem,1,auto_agree
SteinmanTamir,כתב חדשות 2 בדרום,ישראל,1,auto_agree
ElizabethRimini,בלוגים blogs,,1,auto_agree
frederic_scheer,cancer fighter and survivor! promoting cancer diagnostics testing. helping children in africa & fighting against women abuse in africa. promoting peace!!!,bozeman mt,0,auto_agree
warnerthuston,freelance writer breitbart news western journal and many many more. many time tv and radio guest. email: igcolonel@hotmail.com,chicago ill.,0,auto_agree
The_Adams1,they told me to use the brain god gave me. i did now am atheist מועתק  אבל חמוד...,israel,1,auto_agree
Israellycool,proud jew. ozraeli. executive director israellycool israel advocacy. middle east analyst. antisemites beware.,israel,1,auto_agree
jk006d,love fauda and israel baseball. unofficial president of ritchie torres & haviv rettig gur fan clubs. release the hostages now! עם ישראל חי,secret hq,1,auto_agree
zalmanovitz,בזמני הפנוי יהודי פשוט,jerusalem israel,1,auto_agree
orasetter,14th generation in israel. ph.d. in management studies. past ceo and academic director of the executive   education center in tau  head of  od association.,,1,auto_agree
Dudibnhmo,עיתונאי ומגיש 'כיכר השבת'. לשעבר כתב ומגיש בערוץ 7. ועורך ומגיש בחדשות הסקופים.,ירושלים,1,auto_agree
miluimnikim,"אנחנו המילואימניקים שנלחמים ברגעים אלה על הבית מבינים שהפעם המשימה שלנו לא נגמרת בשדה הקרב.
חתמו על מתווה הגיוס שלנו",,1,auto_agree
orenlebovitch,,israel,1,auto_agree
feministitFTW,"הבו לנו פטיש.
connect@feministit.co.il",ישראל,1,auto_agree
GenFlynn,faith family freedom twice a best selling author. former national security advisor to 45th potus.,local action,0,manual_discussion
zionutdatit,הדף הרשמי של מפלגת הציונות הדתית בראשות בצלאל סמוטריץ',ישראל,1,manual_discussion
DaliaHochberg,"קיבוצניקית קצינה צנחנית סא""ל מנכ""לת מרכז המרצים לישראל אמא של יעל ודניאל שותפה ב onlive   האנשים הכי משפיעים בישראל לייב אצלכם בסלון",israel,1,auto_agree
ksminnovation,kahn-sagol-maccabi (ksm) is the research and innovation center of maccabi healthcare services,tel aviv,1,manual_discussion
shwrzenberg,החיים עוד לא חזרו למסלולם ״הפצעים עדיין לא הגלידו אולי זה יישאר כבר לעולם אולי צריך לתת לזה עוד זמן מה יהיה ימים יגידו אולי צריך לתת לזה עוד זמן״,ישראל,1,auto_agree
GSzneiberg,יליד בואנוס איירס ופעיל ירושלמי עובד בנק וסוציאל דמוקרט פסיכולוג ומנתח מערכות.,jerusalem,0,manual_discussion
aronkalman1,תקשורת • סטודנט למשפטים,,1,auto_agree
ExArcanaImperii,𝐏𝐡𝐃,whitechapel london,0,auto_agree
PearlmanYeC,#torah,mount tzion,2,manual_discussion
Arabhebre,"חדשות יומיות בערבית מדוברת תעתיק תרגום ואוצר מילים לשינון.

חדשות בערבית גם בטלגרם",,1,auto_agree
Hollandia_il,מערכות השינה הטובות בעולם,,1,manual_discussion
yoaveven,כתב לענייני בריאות חדשות ערוץ 2,תל אביב,1,auto_agree
YMalulu,מצחיקה את עצמי.,,1,auto_agree
tomweg,author of the bestseller cannabis wars and gold medal winner of the global books award. strategic consultant and legalization advocate.,ישראל,1,auto_agree
UriSadot,,tel-aviv israel,1,auto_agree
EmekShaveh,jerusalem-based organization of archaeologists and community activists focusing on the role of archaeology in society and in the israeli-palestinian conflict.,jerusalem,1,auto_agree
itamarfleishe,כמים הפנים אל הפנים כן לב האדם אל האדם,ישראל,1,auto_agree
uriweltmann,אורגנייזר ארצי - תנועת עומדים ביחד,תל-אביב تل ابيب tel-aviv,1,manual_discussion
Roni_katz1,,,1,auto_agree
Energy_IL,the official twitter account of israel’s ministry of energy & infrastructure  החשבון הרשמי של משרד האנרגיה והתשתיות,בנק ישראל 7 ירושלים,1,auto_agree
MariaGArocha,venezolana portugueseña araureña defensora de los ddhh. presidente regional de encuentro ciudadano portuguesa.,venezuela,0,auto_agree
lopoter,,israel,1,auto_agree
hadarseg,,tel aviv,1,auto_agree
marymauldin,#godisamongus,descendant-puritans here 1636,0,manual_discussion
adamscottbellos,host of “unfiltered w/ adam” pragmatic political commentator and zionist. founder and ceo of,tel aviv israel,1,auto_agree
amaliadoron,opinions are my own,tel aviv,1,auto_agree
AR__PU,monero,supranational monetary defi,2,manual_discussion
moshes2912,יהיה בסדר.,ישראל,1,auto_agree
EstyS,אזרחית בתפקיד ||  בלילות חולמת על גרפים חשמליים,tel aviv - israel,1,auto_agree
AdrielBeneviste,"advogado 
compliance penal
estudioso do direito - 
am israel chaim
מרוח פיו של השקרן נעשה היצר הרע וכשיבוא משיח אז לא יהיה שקר ובשביל זה לא יהיה יצר הרע בעולם",jerusalém israel,1,auto_agree
BerentMoshe,,,1,auto_agree
democratechil,"הייטק לא יכול לצמוח בלי דמוקרטיה יציבה.
אין דמוקרטיה אין כלכלה אין הייטק.

הצטרפו אלינו",,1,auto_agree
Uvda_tweet,תוכנית התחקירים של ישראל מאז 1993. הצעות לכתבות : uvda@mako.co.il בטלמסר 072-3944333  או כאן,,1,auto_agree
Tani_Frank,מנהל המרכז ליהדות ומדינה מבית,israel,1,auto_agree
israzohar,חביב השונאים בטוויטר. ציוציי על דעתי מפוקפקת ככל שתהיה,,1,auto_agree
MichalBenArii,כתבת צבאית בבטאון חיל-האוויר (במיל׳) • עורכת חדשות ב-n12 (בדימוס) • מנהלת הדיגיטל של איש חשוב מאוד (בהווה).,,1,auto_agree
MarkLevineNYC,manhattan borough president. find me mostly elsewhere:,manhattan ny,0,auto_agree
gnz_ysr,תל אביבי. מנכל פורום הגבורה לשעבר. רכז ארגון בבני עקיבא. הציוצים על דעתי האישית. משתדל לקרוא פעמיים לפני שמגיב.,תל אביב,1,auto_agree
BigStivo_,הפועל. יותר גדול מאיציק,,1,auto_agree
dont_make_afuss,ההוא מהזה,,1,manual_discussion
elbazr5,,israel,1,auto_agree
mz_nh45180,,,1,manual_discussion
uricirlin1,מאמין בחיים מחוץ לכדור הארץ. מבין מאוד בהלכה. רק הפועל. lfc. בזכותי צה״ל כבש את החרמון הסורי,,1,auto_agree
Epoch_Magazine,מגזין | חדשות | פרשנויות,בן גוריון 20 גבעת שמואל,1,manual_discussion
EFischberger,independent / freelance writer & investigator | fmr idf ssgt | words:,israel,1,auto_agree
moriatshuva1,הציוצים הם על דעתי האישית בלבד.,,1,auto_agree
QskGMqpKbSuU0vm,מרצה למדעי המדינה ודיקאן הסטודנטים במכללה האקדמית אשקלון,חולון,1,auto_agree
SivanRahav,"אשת תקשורת מרצה אימא לחמישה

mother journalist lecturer",,1,auto_agree
envirohaaretz,עיתונאי סביבה,,1,auto_agree
eliahu51,יועץ תאורה בכיר מומחה לתאורה בחללים גדולים כגון מחסנים לוגיסטיים מפעלים מגרשי ספורט אולמות ספורט  חנויות  מרכזים מסחריים בתי כנסיות ומסגדים. בתי כנסת.,ישראל,1,auto_agree
Schlesinger23,אם ביבי היה משה רבנוהיינו עדיין עבדים במצריים,ישראל,1,auto_agree
j_damari,שינה זה לחלשים,,1,auto_agree
LahavHarkov,senior political correspondent,jerusalem\tel aviv,1,auto_agree
MottyFarangy,אני לא מרגש אותי כלום חוץ מכדורגל עורך חדשות בכkן11 mottyf@kan.org.il,,1,auto_agree
JMileiElecto,"long live freedom damn it! 
mirror ai",argentina,2,manual_discussion
TalShamay,חזאי חדשות 13,ישראל,1,auto_agree
BradSherman,proudly serving california's 32nd district in the u.s. congress. admission: some tweets are prepared by my staff on my behalf. rts are not an endorsement.,sherman oaks ca,0,auto_agree
sergio_barbanti,official profile of the ambassador of italy to israel.,,0,auto_agree
ERSpeiser,"עורך אחראי בהוצאת סלע מאיר. 
כותב על ארה""ב פוליטיקה היסטוריה תרבות פופולרית וכל מה שמעניין

managing editor sella meir publishing",jerusalem israel,1,auto_agree
amirshuan,"אקסית - ידיעות אחרונות.
נוכחית - הצינור",israel,1,auto_agree
NaorGozlan,gozlans holdings & investments. real estate foodtech retail e-commerce,palm beach gardens fl,1,manual_discussion
mordiamar,,tel aviv . israel,1,auto_agree
Lauren_Provost,journalisme numérique dans un quotidien libre. directrice adjointe de la rédaction de,paris,0,auto_agree
Yesh_Din,yesh din is an israeli human rights ngo working in the occupied palestinian territories. mostly funded by foreign governmental entities and other boogiemen.,west bank/tel aviv,1,manual_discussion
ElfeVan,,niederlande,0,manual_discussion
asafzamir,וממלא מקומו,,1,auto_agree
Motek_mordehay,"ח""כ מותק מרדכי (תא""ל צבא הסוכריות של מותק) מסיעת בול באמצע זוכת המקום ה2 באח השורד הבא נולדה ביום בו רבין נרצח ומאמינה בשקיפות מלאה על מלא. חשבון הומוריסטי",ישראל,1,auto_agree
udi_hir,"עורך מהצד השני עם גיא זהר כאן 11. ה-dm פתוח לפערים. 
תחביבים חוץ מכדורסל: כדורסל אמריקאי. כל הציוצים משקפים את דעתי האישית בלבד גם זה בקושי",,1,iteration_2_manual
netanelgamss,כתב עבודה וקריירה ב-themarker. ה-dm פתוח לסיפורים. 054-2118847,,1,iteration_2_manual
david_lisovtsev,"25 איסופניק במיל'.
מנכ""ל פיד מלחמת רוסיה-אוקראינה.
dm פתוח.
ראשלצי בעבר ירושלמי בהווה.
שפות:",,1,iteration_2_manual
Salansar1,"a saudi political commentator writer and public speaker.
a frequent guest on cnn bbc and france24. 

media inquiries: dm

باحث سياسي سعودي",kingdom of saudi arabia,0,iteration_2_manual
rosnersdomain,הקיפוד והשועל המדד כאן חדשות המכון למדיניות העם היהודי מעריב jewish journal. מכבד מחלוקות וחוסם את כל מי שמגיב בצורה לא מנומסת.,tel aviv,1,iteration_2_manual
daniellebett,scottish-israeli. jewish. person. any views expressed are my own.  also on:,,1,iteration_2_manual
lewinthal,"הוגיי דעות.
ספורט
מוזיקה קלאסית
טראמפ
וכל השאר

jewish israeli gay 
proud trump supporter
football is my life
classical music is my soul",tel aviv,1,iteration_2_manual
InShifrasArms,supporting jewish women with unplanned pregnancies build flourishing futures for themselves with free counseling and practical resources.,national,0,iteration_2_manual
faniaoz,"israeli jewish humanist history prof. wife & mom.
loving daughter of amos oz.
tel aviv u (ba ma) oxford u (d.phil) uppsala u (dr. h.c)
democracy must win.",law faculty u. of haifa,1,iteration_2_manual
YuvalDavid,jewish israeli-american lgbtq • journalist news commentator actor filmmaker advocate advisor •,united states,1,iteration_2_manual
FinkAl1985,"proud israeli jewish atheist father engineer. 
ph.d candidate @ tel-aviv university. 

pro-reason human rights science.
anti-wokeslamism.",rishon-letziyon,1,iteration_2_manual
brcohen,lavine family executive director of the kraft center for jewish student life columbia / barnard hillel,new york ny,1,iteration_2_manual
ShukiFriedman,director general jewish people policy institute (jppi) law prof. peres academic center. opinions are mine.,here,1,iteration_2_manual
JewishWarrior13,open-source intel analysis & breaking news. orthodox jewish zionist. ex-idf & shadow warrior. proud american & patriot since 1990.,united states of america,0,iteration_2_manual
renegade_Kathy,"zionist. terf. vegan. manifestly fallible human. 

sometime writer for jewish journal fathom journal and other fine publications.",los angeles,0,iteration_2_manual
ShaiDavidai,jewish israeli. father. partner. zionist. asst professor. barred from,nyc,1,iteration_2_manual
tafsikorg,we are a jewish civil rights group combatting jew hatred across the globe. one light one heart we are forever the jewish people.,toronto,0,iteration_2_manual
HammelJill,associate executive director jewish family & children’s service of southern nj | educator | lifelong learner |,cherry hill new jersey,0,iteration_2_manual
JewishJournal,your source for news and commentary on jewish people places and things.,los angeles ca,0,iteration_2_manual
VerminusM,jewish zionist soviet refugee israeli geek author hiker eclectic nocturnal trilingual listener observer cinephile friendly.,,1,iteration_2_manual
HagitHalali,jewish agency spokesperson   דוברת הסוכנות היהודית,,1,iteration_2_manual
SethAnziska,mohamed s. farsi-lindenbaum professor of jewish-muslim relations,london,0,iteration_2_manual
DianaDNovik,"jewish patriot mom
on the right side of history",,0,iteration_2_manual
liv_laynee,genz christian conservative american zionist. you can pick whichever one makes you the most angry. and no i’m not jewish. thanks for the compliment though.,,0,iteration_2_manual
JewishConnectiv,rabbi arnie. artisanal rabbi. chief jewish ed. officer - jewish federation broward county fl. politically fluid. opinions are his alone.,hollywood fl,0,iteration_2_manual
Beit_Avi_Chai,offering more than 50 monthly programs beit avi chai is a jerusalem-based cultural hub for the creation development and expression of jewish culture and ideas,jerusalem,1,iteration_2_manual
RGrice_colorado,a common sense moderate optimist pragmatist jesus follower faith freedom and limited government. no dm i mean it!,western colorado,0,iteration_2_manual
ShacharFriedman,עורך דין; סגן העורך הראשי,,1,iteration_2_manual
LeviYonit,evening news anchor,,1,iteration_2_manual
rcjmason,intellectual political erudite with artistic tendencies. a citizen of the world if you will.,mid-west united states,0,iteration_2_manual
oferernar,,,1,iteration_2_manual
RSemah,instegram: rotem_davids,,1,iteration_2_manual
DavidLifshitz,,,1,iteration_2_manual
YossiMarshak,,,1,iteration_2_manual
shaydotve,מי שלא חי בשביל הדאחקה לא חי באמת,,1,iteration_2_manual
ArielAvni1,,,1,iteration_2_manual
ugiyut_abadi,פיד בשמים גלגולים בדשא ועוגיות עבאדי,,1,iteration_2_manual
Kfir_glass12,כתום זה השחור החדש,,1,iteration_2_manual
adikahaner,מכורה גאה לאוטריבין,,1,iteration_2_manual
Eliezer_yehoda,המגיב הלאומי,,1,iteration_2_manual
IlanLukatch,עיתונאי בחדשות 12 משנת 1995 (קודם לכן בהעיר 1988–1991 ובהארץ 1991–1995). הציוצים הם דעותַי בלבד (לעיתים הן משתנות ללא התרעה) וחלקם מנוסח בציניות,,1,iteration_2_manual
Hi_Its_Oz,i study physics and economics,,1,iteration_2_manual
OnceAnAngel18,"jtwitter support staff. 
am yisrael chai bitches.",,1,iteration_2_manual
fridman_liran,ישראלי פטריוט ושונא פטריות,,1,iteration_2_manual
Secury3759,$leu,çerkezköy türkiye,0,iteration_2_manual
Pink,trustfall deluxe out now,los angeles,0,iteration_2_manual
selenagomez,“love on” out now!,los angeles,0,iteration_2_manual
marieclaire,for women of power purpose and style.,,0,iteration_2_manual
Drake,partner,paradise,0,iteration_2_manual
pitbull,mr. worldwide. musician. entertainer. education ambassador. entrepreneur.,miami fl,0,iteration_2_manual
NiallOfficial,the show live on tour albums out now:,mullingarwestmeathireland,0,iteration_2_manual
GavishAmit,"1.כריזמה של ביבי עם אלקטבליות של טיבי.
2.חולם להיות חד כמו שביט אלימלך נגד צ'לסי.",,1,iteration_2_manual
kobizal,דתי. לשעבר. ומה. שביניהם.,צאן,1,iteration_2_manual
dormoalem,עורך מדור המוזיקה ב-,tel aviv,1,iteration_2_manual
RozenNir,מנכ״ל מפלגת העבודה בדימוס (המנכ״לות והמפלגה כאחד). פרולטר בצבא הסגול של חולוניה.  ״המהפכה בלתי אפשרית עד השלב בו היא בלתי נמנעת״ - טרוצקי,,1,iteration_2_manual
drorrefael,"משדר את הבוקר ב 90fm
כותב טור בסופשבוע של מעריב
 מגיש את - יהודי ודמוקרטי - בדמוקרטיוי
וגם מורה ללשון עברית בבית ספר לחינוך מיוחד",,1,iteration_2_manual
Marikbrest,covering apple and android news and the web computers & it expert just gadget and computer geek.,,0,iteration_2_manual
haakravit,אישה אמא| אוהבת מילים שירים סיפורים וגברים,,1,iteration_2_manual
yaakovmatan,יש לי שלושה אחים בלאס וגאס כל השאר בונוס.,בית שמש,1,iteration_2_manual
erezcarmel,צלם,austin tx,1,iteration_2_manual
MaarivOnline,אתר ''מעריב אונליין'' עם הכותבים הטובים ביותר בישראל. וגם: ''ג'רוזלם פוסט'' אתר הרכילות tmi רדיו fm99 ו-103fm בשידור חי וכל השערים מספורט1 וספורט2,,1,iteration_2_manual
SculptorMo,3d kunstenaar,nederland,0,iteration_2_manual
Galgush,לבל יהי עלי יומי הרגל,תל אביב,1,iteration_2_manual
Zahavim2,"comes a time when the blind man takes your hand
says dont you see?
gotta make it somehow on the dreams you still believe
don't give it up...",בין האוזניות או בין הרמקולים,1,iteration_2_manual
Slonim,writer,,1,iteration_2_manual
regev_miri,תא״ל (מיל׳) מירי רגב שרת התחבורה והבטיחות בדרכים וחברת הקבינט המדיני בטחוני.,,1,iteration_2_manual
MBlumenblat,אם הטנדר מתנועע אל תבוא להתרועע,,1,iteration_2_manual
dushi120,מאיירת כותבת והפוך,,1,iteration_2_manual
Jane_Bordo,what makes me special? not thinking too hard just having fun with it.,haifa,1,iteration_2_manual
GalLevanon,,,0,iteration_2_manual
Hakufsah,מוזיקה • קולנוע • ומה שביניהם,,1,iteration_2_manual
rafiaboulafia,במאי המקור רשת 13,,1,iteration_2_manual
yigalon,הַחַיִּים הֵם כְּמוֹ הַכֶּלֶב שֶׁלִּי. אֵין לִי,או fuck ים,1,iteration_2_manual
tzur_eran,,,1,iteration_2_manual
PINIBalili383,שיתופי פעולה אסטרטגים,,1,iteration_2_manual
renanafriedman,גם לבת של בן גוריון קראו רננה,,1,iteration_2_manual
nitzan_levy29,ירושלמית (ולא דתיה). תחקירנית וכתבת בערוץ כנסת,,1,iteration_2_manual
OmerMaman5,יהודי.ציוני.מכבי,,1,iteration_2_manual
shilonavi,,,1,iteration_2_manual
AdvHimi,,בגין 7 רמת גן,1,iteration_2_manual
IdanMartin1,,,1,iteration_2_manual
segal_ariella,עורכת דין | חובבת שירה היסטוריה וטבע,,1,iteration_2_manual
yanirs14,מטייל,,1,iteration_2_manual
OmriTal_,הולך-רגל אבל אוהב לנהוג טבעוני אבל אוהב בשר.,,1,iteration_2_manual
AVI_MAOZ,יו״ר מפלגת נעם סגן השר ח״כ אבי מעוז.,,1,iteration_2_manual
HadasSheinfeld,tlv product good life,tel aviv,1,iteration_2_manual
Sea_Wave,i am a front-end / fullstack / software developer dj (d.j. seawave) & owner of online metal gothic & alternative music magazine -,,1,iteration_2_manual
F4TMONK3Y,"father of hawaij gamer.
social & community management events production product manager.",,1,iteration_2_manual
MLoeub,,,1,iteration_2_manual
sheziff,"הספר שלי ""אנשים שפגשתי בדמיון"" זמין לרכישה:",באר שבע,1,iteration_2_manual
bodkim2022,"נלחמים בפייק ניוז
fact checkers",,1,iteration_2_manual
HermannItai,"איתי הרמן צ'ייסר בתכנית ""המרדף"" ונער החידות מנווה רסקו.  משחקולוג.",,1,iteration_2_manual
nton_eldar,צייצן פעיל בעבר איש קריאייטיב ומנק״ל רמ״ב בהווה,,1,iteration_2_manual
Mishel_pru,ליל קוקו - קוקאינה,,1,iteration_2_manual
EurovisionewsIL,כל העדכונים בדרך לאירוויזיון 2025 בבאזל - 13 | 15 | 17 במאי,,1,iteration_2_manual
roni66666666,,,1,iteration_2_manual
Uri__Cohen,כותב ב-,jerusalem,1,iteration_2_manual
itay_itayasher,יוצר דוקותיים בתאגיד השידור הישראלי כאן,,1,iteration_2_manual
dukidror,filmmaker/director/producer at zygote films,,1,iteration_2_manual
yreguer,reporter,,1,iteration_2_manual
