username,bio,location,locals_vs_diaspora,comments,iteration
RozenNir,מנכ״ל מפלגת העבודה בדימוס (המנכ״לות והמפלגה כאחד). פרולטר בצבא הסגול של חולוניה.  ״המהפכה בלתי אפשרית עד השלב בו היא בלתי נמנעת״ - טרוצקי,,1,,2
drorrefael,"משדר את הבוקר ב 90fm
כותב טור בסופשבוע של מעריב
 מגיש את - יהודי ודמוקרטי - בדמוקרטיוי
וגם מורה ללשון עברית בבית ספר לחינוך מיוחד",,1,,2
Marikbrest,covering apple and android news and the web computers & it expert just gadget and computer geek.,,0,,2
haakravit,אישה אמא| אוהבת מילים שירים סיפורים וגברים,,1,,2
yaakovmatan,יש לי שלושה אחים בלאס וגאס כל השאר בונוס.,בית שמש,1,,2
erezcarmel,צלם,austin tx,1,,2
MaarivOnline,אתר ''מעריב אונליין'' עם הכותבים הטובים ביותר בישראל. וגם: ''ג'רוזלם פוסט'' אתר הרכילות tmi רדיו fm99 ו-103fm בשידור חי וכל השערים מספורט1 וספורט2,,1,,2
SculptorMo,3d kunstenaar,nederland,0,,2
Galgush,לבל יהי עלי יומי הרגל,תל אביב,1,,2
Zahavim2,"comes a time when the blind man takes your hand
says dont you see?
gotta make it somehow on the dreams you still believe
don't give it up...",בין האוזניות או בין הרמקולים,1,,2
Slonim,writer,,1,,2
regev_miri,תא״ל (מיל׳) מירי רגב שרת התחבורה והבטיחות בדרכים וחברת הקבינט המדיני בטחוני.,,1,,2
MBlumenblat,אם הטנדר מתנועע אל תבוא להתרועע,,1,,2
dushi120,מאיירת כותבת והפוך,,1,,2
Jane_Bordo,what makes me special? not thinking too hard just having fun with it.,haifa,1,,2
GalLevanon,,,0,,2
Hakufsah,מוזיקה • קולנוע • ומה שביניהם,,1,,2
rafiaboulafia,במאי המקור רשת 13,,1,,2
yigalon,הַחַיִּים הֵם כְּמוֹ הַכֶּלֶב שֶׁלִּי. אֵין לִי,או fuck ים,1,,2
tzur_eran,,,1,,2
PINIBalili383,שיתופי פעולה אסטרטגים,,1,,2
renanafriedman,גם לבת של בן גוריון קראו רננה,,1,,2
nitzan_levy29,ירושלמית (ולא דתיה). תחקירנית וכתבת בערוץ כנסת,,1,,2
OmerMaman5,יהודי.ציוני.מכבי,,1,,2
shilonavi,,,1,,2
AdvHimi,,בגין 7 רמת גן,1,,2
IdanMartin1,,,1,,2
segal_ariella,עורכת דין | חובבת שירה היסטוריה וטבע,,1,,2
yanirs14,מטייל,,1,,2
OmriTal_,הולך-רגל אבל אוהב לנהוג טבעוני אבל אוהב בשר.,,1,,2
AVI_MAOZ,יו״ר מפלגת נעם סגן השר ח״כ אבי מעוז.,,1,,2
HadasSheinfeld,tlv product good life,tel aviv,1,,2
Sea_Wave,i am a front-end / fullstack / software developer dj (d.j. seawave) & owner of online metal gothic & alternative music magazine -,,1,,2
F4TMONK3Y,"father of hawaij gamer.
social & community management events production product manager.",,1,,2
MLoeub,,,1,,2
sheziff,"הספר שלי ""אנשים שפגשתי בדמיון"" זמין לרכישה:",באר שבע,1,,2
bodkim2022,"נלחמים בפייק ניוז
fact checkers",,1,,2
HermannItai,"איתי הרמן צ'ייסר בתכנית ""המרדף"" ונער החידות מנווה רסקו.  משחקולוג.",,1,,2
nton_eldar,צייצן פעיל בעבר איש קריאייטיב ומנק״ל רמ״ב בהווה,,1,,2
Mishel_pru,ליל קוקו - קוקאינה,,1,,2
EurovisionewsIL,כל העדכונים בדרך לאירוויזיון 2025 בבאזל - 13 | 15 | 17 במאי,,1,,2
roni66666666,,,1,,2
Uri__Cohen,כותב ב-,jerusalem,1,,2
itay_itayasher,יוצר דוקותיים בתאגיד השידור הישראלי כאן,,1,,2
dukidror,filmmaker/director/producer at zygote films,,1,,2
yreguer,reporter,,1,,2
