username,bio,location,target_population,locals_vs_diaspora,person_vs_organization,comments,source_consensus
NataliaAntonova,ukrainian-american. writer. advocate for the glorious normie restoration. safer dating now creator. i do osint but i make it girly.,colorado springs co,0,0,1,סופרת מקולורדו,auto_agree
odedmudrik,"שופט סגן נשיא (בדימוס) של ביהמ""ש המחוזי ת""א. פרופסור (בדימוס) אונ' אריאל יועץ מיוחד למשרד ayr רץ ונשיא כבוד בקבוצת הריצה - judge do it.משתתף בקריאת ""הדף היומי""",ישראל,1,1,1,שופט ישראלי גר בארץ,auto_agree
Daniel85401173,"embrace the dissonance let it unfold
challenge the contradictions be bold.
from the clash of thoughts wisdom shall rise
revealing truths that lie disguised",israel,1,1,1,ישראלי גר בארץ,auto_agree
Ortal_Shnitzer,"דיג'אית - dj-it 
מרתוניסטית 42.2km
דוברת עירוני טבריה לשעבר 14/15 
אוהדת הפועל תל אביב",ישראל,1,1,1,ישראלית,auto_agree
marcyrw,democracy will prevail. women won't go back. pro-choice/att'y/prof./texan helping to turn it blue. i stand w. israel and ukraine. i block rape deniers. no dms.,everywhere,0,0,1,תומך ישראל אבל לא מכאן,auto_agree
DASSA0104,you will never fly if you don't trust your own wings,ישראל,1,1,1,ישראלי,auto_agree
Yonatan_Touval,personal account | mitvim the israeli institute for regional foreign policies | words in:,tel aviv,1,1,1,ישראלי שגר בישראל,auto_agree
ramivered,"bring them home
now
bibi go to hell",israel,1,1,1,ישראלי שגר בישראל,auto_agree
SyomabCovid19,"כרגע מתמקד בעיקר בזירת המלחמה שלנו.
כותב על גיאופוליטיקה עולמית.
אוסף מידע מנגיש אותו ומנסה לחבר בין הנקודות.
מתעניין במדערפואה כלכלה היסטוריה וחברה.",ישראל,1,1,1,ישראלי שגר בישראל,auto_agree
tamam231,נשוי לאישה מדהימה אב לתינוקת נפלאה בעלים של כלבה דעתנית. עצמאי רץ למרחקים ארוכים חופר לא מעט אבל על הדברים הנכונים. ספורט מוזיקה אוכל פוליטיקה. החיים.,ישראל,1,1,1,ישראלי שגר בישראל,auto_agree
nivli,"space & tech journalist.
classically trained in journalism ballet and political thought. bylines: walla zdnet. opinions are my own.",israel,1,1,1,ישראלי שגר בישראל,auto_agree
harnevo,entrepreneur. ex co-founder & ceo 5min (acquired by aol) & homeis; president video at aol; board at talkspace and others. new stuff in stealth coming soon…,israel,1,1,1,ישראלי שגר בישראל,auto_agree
HilzFuld,proud zionist/jew global speaker (50+ cities) tech columnist (tc inc vb fastco)/advisor (google microsoft oracle) dad x5. we will dance again!,israel,1,1,1,ישראלי שגר בישראל,auto_agree
orlybarlev,"עיתונאית עצמאית. אקטיביסטית. דמוקרטיה. שחיתות שלטונית. 
independent journalist. activist. democracy. government corruption.
tweets in english",israel,1,1,1,ישראלית שגרה בישראל,auto_agree
tomashinyu3,בשל לסבאות משותפת,יפו,1,1,1,ישראלי שגר בישראל,auto_agree
dana_olmert,מרצה בכירה לספרות באוני׳ ת״א,ישראל / פלסטין,1,1,1,ישראלית שגרה בישראל,auto_agree
AmirKochavi,אבא של אופיר ורותם. ראש עיריית הוד השרון. ומותר ומותר לאהוב.,israel,1,1,1,ישראלי שגר בישראל,auto_agree
morbaram,דוקטור אבל לא לרפואה אמא אבל רק ל2 נס ציונית בנשמה מובילת הקמפיין: תנו לאפרסמון אימוג׳י.,ישראל,1,1,1,ישראלית שגרה בישראל,auto_agree
michalpeylan,email: michalp@ch2news.tv •,ישראל,1,1,1,ישראלית שגרה בישראל,auto_agree
FreifeldRacheli,קופירייטרית נטולת השכלה,,1,1,1,ישראלית שגרה בישראל,auto_agree
CatRobotIL,postdoc,israel,1,1,1,ישראלי שגר בישראל,auto_agree
ruth_elbaz,עובדת בכאן הבעיה של השמאל ודודה לאחיינים,,1,1,1,ישראלית שגרה בישראל,auto_agree
LiorLilush,nbamusichistory and art fan and everything pop culture,,1,1,1,ישראלי שגר בישראל,auto_agree
moshe7749,man of the world,jerusalem israel,1,1,1,ישראלי שגר בישראל,auto_agree
PathofGiving,,israel,1,1,1,מורה לפסנתר ישראלית,auto_agree
adihasid,אוהב אדם אוהב המדינהומוכן להתווכח עם תומכים ומתנגדיםעם מתן כבוד למכבדיי. תחומי עיסוק .   החזרי מס לשכירים   ייעוץ לפרישה  ביטוח.,רחובות ישראל was,1,1,1,ישראלי שגר בישראל,auto_agree
efraimleaf,סרטים מוסיקה (גם ג׳אז) ספרים צילום תרבות אומנות סטרימינג סביבהאוכל אמיתי פרוגליות וצום. דעתי האישית בלבד. מייסד שותף מובילנד בתי קולנוע. תמיד מקווה לטוב,in the matrix,1,1,1,ישראלי שגר בישראל,auto_agree
ShperlingAmir,הכוכב של מחוז גוש דן. תסריטאי. כותב לארץ נהדרת. “לא זה לא יכול להיות שכל העבודה שלך זה לשחק עם אותיות”.,ישראל,1,1,1,ישראלי שגר בישראל,auto_agree
ayakorem,לוחמנית בגבולות סבירים,israel,1,1,1,ישראלית שגרה בישראל,auto_agree
goldens32,מנסה להיות אופטימית,israel,1,1,1,ישראלית שגרה בישראל,auto_agree
TM76361657,gender realist stubborn unbeliever of fairy tales. fact loving israel supporting christian atheist. music travel & animal fan (especially otters).,london england,0,0,1,מלונדון,auto_agree
alonashtrum,if you are not paying for it you are the product.,ישראל,1,1,1,ישראלית,auto_agree
MaestroNirBrand,orchestra conductor performer galey zahal broadcaster educator and humanitarian. performs worldwide.,israel,1,1,1,ישראלי שגר בישראל,auto_agree
RoieLabes,"הסולן הבא של להקת טיפקס.
עומרי קנדה נתן לי חיבוק בשני מקרים שונים. פעמיים כתבתי שאלות ל״20 שאלות״ של הארץ ופעם אחת בתשבץ של דקל בנו.
חפשו 'רועי לבס' בספוטיפיי.",israel,1,1,1,ישראלי גר בישראל,auto_agree
shaulmert,כל העולם השתגע אני הנורמלי היחיד,israel,1,1,1,ישראלי גר בישראל,auto_agree
amsterdamski2,עיתונאי ב-,israel,1,1,1,ישראלי גר בישראל,auto_agree
goraly,עורך הסכתים podcaster,israel,1,1,1,ישראלי גר בישראל,auto_agree
SuperpoweredApp,"the ai copilot for your meetings

for support please email team@superpowered.me",san francisco ca,0,0,0,חברת AI לא מהארץ,auto_agree
bbrode,i,orange county ca,0,0,1,לא מהארץ,auto_agree
Shira_Fridman,אני יודעת שאני יודעת שאני לא יודעת,,1,1,1,ישראלית שגרה בארץ,auto_agree
ashevat,early stage investor.,austin,0,0,1,לא מהארץ,auto_agree
GONENB1,"פעיל חברתי
ממייסדי קריים מיניסטר
עורך דין
ממקימי מערך עוטף עצורים של המחאה
יוצר דוקומנטרי
קמפיין מימון:",ישראל,1,1,1,ישראלי שגר בישראל,auto_agree
itzikdev,אנחנו של ישראל,,1,1,1,ישראלי שגר בישראל,auto_agree
baruchikra,כתב ופרשן חדשות 13 לענייני משפט,ישראל,1,1,1,ישראלי שגר בישראל,auto_agree
irad,music composer of day to day soundtracks. among the hits written: ta na na too doo doo da ta da da dadidaduda tu ta da and more.,los angeles ca,0,0,1,לא מהארץ,auto_agree
hkim14050017,אין דבר פוליטי יותר ממחיר הלחם,ישראל,1,1,1,ישראלית שגרה בישראל,auto_agree
micobz,co founder,israel,1,1,1,ישראלי שגר בישראל,auto_agree
AmitLidor,husband father,israel,1,1,1,ישראלי שגר בישראל,auto_agree
jonattias,father husband entrepreneur | mh fc fan,israel,1,1,1,ישראלי שגר בארץ,auto_agree
noaost,עורכת כותבת מוחקת,,1,1,1,ישראלית שגרה בארץ,auto_agree
MayaKadosh,chief of staff for foreign policy to minster,ישראל,1,1,1,ישראלית שגרה בארץ,auto_agree
JacobsYechiel,defeating anti israel hate with comedy. sharing the truth through laughter and humor!,,0,0,1,,manual_resolution
MikeE_3_14,"dad datascience mathaddict genai llms diffusionmodels gymlover

rightwing liberal anti-socialism anti-islamism russiadelendaest slavaukraine antiwoke",greenland,1,1,1,,manual_resolution
NagrelaEditores,publicamos libros de temática judía en español. nuestro objetivo es fomentar el conocimiento de la historia tradiciones y cultura judía y el estado de israel.,españa,0,0,0,,manual_resolution
IsraelinSV,bienvenidos a nuestra cuenta oficial en twitter del estado de,san salvador el salvador,0,0,0,,manual_resolution
IsraelinBG,official account of the embassy of israel in bulgaria,sofia bulgaria,0,0,0,,manual_resolution
MBD_real,• official account of singer/songwriter mordechai ben david •,sea gate brooklyn,1,0,1,,manual_resolution
LTC_Shoshani,official account of idf international spokesperson lieutenant colonel nadav shoshani,israel,1,1,1,,manual_resolution
IsraelinPH,official account of the embasssy of israel,manila,0,0,0,,manual_resolution
boaz_tal,living on the edge and enjoying it.,london,1,0,1,,manual_resolution
liberty667,"if you don’t believe in freedom for people you dislike you probably don’t believe in it at all-m.taibbi 
i'm an ambulance my pronouns are we/woo",children cannot consent,0,0,1,,manual_resolution
AlmostFamousUSA,just a chick who thinks men don’t belong in women’s sports covid started in a lab and that liberalism is a mental disease. i’m occasionally funny.,your dreams,2,2,2,,manual_resolution
Tawane_A,consultant|views are my own & don’t represent any institution/outlet. retweets ≠ endorsements.,nairobi |mogadishu,0,0,1,,manual_resolution
DuduLagziel,titles don't mean a thing. trust me i'm a phd. (,israel,1,0,1,,manual_resolution
TammyGanRos,i don't want clever conversation i never want to work that hard,,1,0,1,,manual_resolution
simon_schama,the past is never dead. it's not even past (faulkner) . historian writer art critic cook bbc presenter but not necessarily in that order,,0,0,1,,manual_resolution
HotBiMommy1,"a naughty mid 40s married bi mommy...
trying to be myself hope you find it sexy",israel,1,1,1,,manual_resolution
ProjectLincoln,"""you cannot escape the responsibility of tomorrow by evading it today.” – abraham lincoln",the united states of america,0,0,0,,manual_resolution
yuvadm,in the words of archimedes give me a long enough lever and a place to rest it - or i will kill one hostage every hour.,127.0.0.1,1,0,1,,manual_resolution
elcoconut12,vine a reírme de cuánto soroco hay acá!!! buuu soy el coco,tel aviv,2,2,2,,manual_resolution
GOsatinsky,"7 ימים ידיעות אחרונות
|
לשעבר 'המקור'
guy-as@yedioth.co.il",,1,1,1,,manual_resolution
kipodist,גבר שמנמן וקוצני עם זין קטן,israel,2,2,2,,manual_resolution
danielamram3,independent journalist | israel | politics | exposing scams | shaming violence | daniel amram uncensored,united states,1,0,1,,manual_resolution
erikb0305,,ישראל,1,1,1,,manual_resolution
michellexgolden,צוכה בוחקת,21,0,0,1,,manual_resolution
goodhertz,modern interfaces excellent audio,los angeles ca,0,0,0,,manual_resolution
aaddams,האזין פעם לפודקסט של שעתיים וחצי על מברשות שיניים חשמליות. כותב סדרות למגירה,,1,1,1,,manual_resolution
shimonba,cmo & co-founder at,mars,1,1,1,,manual_resolution
