username,bio,location,comments,source_consensus,target_population
orlybarlev,"עיתונאית עצמאית. אקטיביסטית. דמוקרטיה. שחיתות שלטונית. 
independent journalist. activist. democracy. government corruption.
tweets in english",israel,ישראלית שגרה בישראל,auto_agree,1
tomashinyu3,בשל לסבאות משותפת,יפו,ישראלי שגר בישראל,auto_agree,1
dana_olmert,מרצה בכירה לספרות באוני׳ ת״א,ישראל / פלסטין,ישראלית שגרה בישראל,auto_agree,1
AmirKochavi,אבא של אופיר ורותם. ראש עיריית הוד השרון. ומותר ומותר לאהוב.,israel,ישראלי שגר בישראל,auto_agree,1
morbaram,דוקטור אבל לא לרפואה אמא אבל רק ל2 נס ציונית בנשמה מובילת הקמפיין: תנו לאפרסמון אימוג׳י.,ישראל,ישראלית שגרה בישראל,auto_agree,1
michalpeylan,email: michalp@ch2news.tv •,ישראל,ישראלית שגרה בישראל,auto_agree,1
FreifeldRacheli,קופירייטרית נטולת השכלה,,ישראלית שגרה בישראל,auto_agree,1
CatRobotIL,postdoc,israel,ישראלי שגר בישראל,auto_agree,1
ruth_elbaz,עובדת בכאן הבעיה של השמאל ודודה לאחיינים,,ישראלית שגרה בישראל,auto_agree,1
LiorLilush,nbamusichistory and art fan and everything pop culture,,ישראלי שגר בישראל,auto_agree,1
moshe7749,man of the world,jerusalem israel,ישראלי שגר בישראל,auto_agree,1
PathofGiving,,israel,מורה לפסנתר ישראלית,auto_agree,1
adihasid,אוהב אדם אוהב המדינהומוכן להתווכח עם תומכים ומתנגדיםעם מתן כבוד למכבדיי. תחומי עיסוק .   החזרי מס לשכירים   ייעוץ לפרישה  ביטוח.,רחובות ישראל was,ישראלי שגר בישראל,auto_agree,1
efraimleaf,סרטים מוסיקה (גם ג׳אז) ספרים צילום תרבות אומנות סטרימינג סביבהאוכל אמיתי פרוגליות וצום. דעתי האישית בלבד. מייסד שותף מובילנד בתי קולנוע. תמיד מקווה לטוב,in the matrix,ישראלי שגר בישראל,auto_agree,1
ShperlingAmir,הכוכב של מחוז גוש דן. תסריטאי. כותב לארץ נהדרת. “לא זה לא יכול להיות שכל העבודה שלך זה לשחק עם אותיות”.,ישראל,ישראלי שגר בישראל,auto_agree,1
ayakorem,לוחמנית בגבולות סבירים,israel,ישראלית שגרה בישראל,auto_agree,1
goldens32,מנסה להיות אופטימית,israel,ישראלית שגרה בישראל,auto_agree,1
TM76361657,gender realist stubborn unbeliever of fairy tales. fact loving israel supporting christian atheist. music travel & animal fan (especially otters).,london england,מלונדון,auto_agree,0
alonashtrum,if you are not paying for it you are the product.,ישראל,ישראלית,auto_agree,1
MaestroNirBrand,orchestra conductor performer galey zahal broadcaster educator and humanitarian. performs worldwide.,israel,ישראלי שגר בישראל,auto_agree,1
RoieLabes,"הסולן הבא של להקת טיפקס.
עומרי קנדה נתן לי חיבוק בשני מקרים שונים. פעמיים כתבתי שאלות ל״20 שאלות״ של הארץ ופעם אחת בתשבץ של דקל בנו.
חפשו 'רועי לבס' בספוטיפיי.",israel,ישראלי גר בישראל,auto_agree,1
shaulmert,כל העולם השתגע אני הנורמלי היחיד,israel,ישראלי גר בישראל,auto_agree,1
amsterdamski2,עיתונאי ב-,israel,ישראלי גר בישראל,auto_agree,1
goraly,עורך הסכתים podcaster,israel,ישראלי גר בישראל,auto_agree,1
SuperpoweredApp,"the ai copilot for your meetings

for support please email team@superpowered.me",san francisco ca,חברת AI לא מהארץ,auto_agree,0
bbrode,i,orange county ca,לא מהארץ,auto_agree,0
Shira_Fridman,אני יודעת שאני יודעת שאני לא יודעת,,ישראלית שגרה בארץ,auto_agree,1
ashevat,early stage investor.,austin,לא מהארץ,auto_agree,0
GONENB1,"פעיל חברתי
ממייסדי קריים מיניסטר
עורך דין
ממקימי מערך עוטף עצורים של המחאה
יוצר דוקומנטרי
קמפיין מימון:",ישראל,ישראלי שגר בישראל,auto_agree,1
itzikdev,אנחנו של ישראל,,ישראלי שגר בישראל,auto_agree,1
baruchikra,כתב ופרשן חדשות 13 לענייני משפט,ישראל,ישראלי שגר בישראל,auto_agree,1
irad,music composer of day to day soundtracks. among the hits written: ta na na too doo doo da ta da da dadidaduda tu ta da and more.,los angeles ca,לא מהארץ,auto_agree,0
hkim14050017,אין דבר פוליטי יותר ממחיר הלחם,ישראל,ישראלית שגרה בישראל,auto_agree,1
micobz,co founder,israel,ישראלי שגר בישראל,auto_agree,1
AmitLidor,husband father,israel,ישראלי שגר בישראל,auto_agree,1
jonattias,father husband entrepreneur | mh fc fan,israel,ישראלי שגר בארץ,auto_agree,1
noaost,עורכת כותבת מוחקת,,ישראלית שגרה בארץ,auto_agree,1
MayaKadosh,chief of staff for foreign policy to minster,ישראל,ישראלית שגרה בארץ,auto_agree,1
JacobsYechiel,defeating anti israel hate with comedy. sharing the truth through laughter and humor!,,,manual_resolution,0
MikeE_3_14,"dad datascience mathaddict genai llms diffusionmodels gymlover

rightwing liberal anti-socialism anti-islamism russiadelendaest slavaukraine antiwoke",greenland,,manual_resolution,1
NagrelaEditores,publicamos libros de temática judía en español. nuestro objetivo es fomentar el conocimiento de la historia tradiciones y cultura judía y el estado de israel.,españa,,manual_resolution,0
IsraelinSV,bienvenidos a nuestra cuenta oficial en twitter del estado de,san salvador el salvador,,manual_resolution,0
IsraelinBG,official account of the embassy of israel in bulgaria,sofia bulgaria,,manual_resolution,0
MBD_real,• official account of singer/songwriter mordechai ben david •,sea gate brooklyn,,manual_resolution,1
LTC_Shoshani,official account of idf international spokesperson lieutenant colonel nadav shoshani,israel,,manual_resolution,1
IsraelinPH,official account of the embasssy of israel,manila,,manual_resolution,0
boaz_tal,living on the edge and enjoying it.,london,,manual_resolution,1
liberty667,"if you don’t believe in freedom for people you dislike you probably don’t believe in it at all-m.taibbi 
i'm an ambulance my pronouns are we/woo",children cannot consent,,manual_resolution,0
AlmostFamousUSA,just a chick who thinks men don’t belong in women’s sports covid started in a lab and that liberalism is a mental disease. i’m occasionally funny.,your dreams,,manual_resolution,2
Tawane_A,consultant|views are my own & don’t represent any institution/outlet. retweets ≠ endorsements.,nairobi |mogadishu,,manual_resolution,0
DuduLagziel,titles don't mean a thing. trust me i'm a phd. (,israel,,manual_resolution,1
TammyGanRos,i don't want clever conversation i never want to work that hard,,,manual_resolution,1
simon_schama,the past is never dead. it's not even past (faulkner) . historian writer art critic cook bbc presenter but not necessarily in that order,,,manual_resolution,0
HotBiMommy1,"a naughty mid 40s married bi mommy...
trying to be myself hope you find it sexy",israel,,manual_resolution,1
ProjectLincoln,"""you cannot escape the responsibility of tomorrow by evading it today.” – abraham lincoln",the united states of america,,manual_resolution,0
yuvadm,in the words of archimedes give me a long enough lever and a place to rest it - or i will kill one hostage every hour.,127.0.0.1,,manual_resolution,1
elcoconut12,vine a reírme de cuánto soroco hay acá!!! buuu soy el coco,tel aviv,,manual_resolution,2
GOsatinsky,"7 ימים ידיעות אחרונות
|
לשעבר 'המקור'
guy-as@yedioth.co.il",,,manual_resolution,1
kipodist,גבר שמנמן וקוצני עם זין קטן,israel,,manual_resolution,2
danielamram3,independent journalist | israel | politics | exposing scams | shaming violence | daniel amram uncensored,united states,,manual_resolution,1
erikb0305,,ישראל,,manual_resolution,1
michellexgolden,צוכה בוחקת,21,,manual_resolution,0
goodhertz,modern interfaces excellent audio,los angeles ca,,manual_resolution,0
aaddams,האזין פעם לפודקסט של שעתיים וחצי על מברשות שיניים חשמליות. כותב סדרות למגירה,,,manual_resolution,1
shimonba,cmo & co-founder at,mars,,manual_resolution,1
